loop_id,timestamp,id,name,symbol,slug,infinite_supply,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,tvl_ratio,platform,self_reported_circulating_supply,self_reported_market_cap,minted_market_cap,tags,quote.USD.price,quote.USD.volume_24h,quote.USD.cex_volume_24h,quote.USD.dex_volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.slug,platform.name,platform.symbol,platform.token_address
1,2026-05-07 20:07:08.487767,1,Bitcoin,BTC,bitcoin,False,20025943.0,20025943.0,21000000.0,2010-07-13T00:00:00.000Z,12626,1,2026-05-07T12:05:00.000Z,,,,,1621392477594.16,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",80964.60064797757,35542827184.720665,35490287721.353035,52539463.36763068,-19.0877,0.02506789,-1.69319229,6.42376675,18.39023328,19.80856192,22.08489232,1621392477594.1619,60.4467,1700256613607.53,,2026-05-07T12:05:00.000Z,,,,,
1,2026-05-07 20:07:08.487767,1027,Ethereum,ETH,ethereum,True,120687104.06368364,120687104.06368364,,2015-08-07T00:00:00.000Z,11926,2,2026-05-07T12:05:00.000Z,,,,,281538719921.44,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",2332.7987037693465,21690941357.58501,21552739744.787064,138201612.79794437,5.8581,0.14836668,-3.09951914,3.2680117,11.67234933,19.45732203,21.24328744,281538719921.43744,10.496,281538719921.44,,2026-05-07T12:05:00.000Z,,,,,
1,2026-05-07 20:07:08.487767,825,Tether USDt,USDT,tether,True,189651082316.74588,194203497624.11526,,2015-02-25T00:00:00.000Z,180717,3,2026-05-07T12:04:00.000Z,,,,,194168744638.9,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",0.9998210486132457,123562092916.8432,120556284267.10767,3005808649.7352433,-14.9688,0.00592923,-0.00031681,0.02286532,-0.00364573,-0.01078056,0.10450543,189617143992.56583,7.0694,194168744638.9,,2026-05-07T12:04:00.000Z,1027.0,ethereum,Ethereum,ETH,0xdac17f958d2ee523a2206206994597c13d831ec7
1,2026-05-07 20:07:08.487767,1839,BNB,BNB,bnb,False,134785800.16,134785800.16,134785800.16,2017-07-25T00:00:00.000Z,3218,4,2026-05-07T12:05:00.000Z,,,,,87348796095.68,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",648.0563678962426,2045824688.4975653,2028131832.4502485,17692856.04731686,-6.871,0.01793565,-0.66666353,5.27130582,8.55725931,4.43557667,2.13801746,87348796095.67839,3.2564,87348796095.68,,2026-05-07T12:05:00.000Z,,,,,
1,2026-05-07 20:07:08.487767,52,XRP,XRP,xrp,False,61796225236.0,99985670046.0,100000000000.0,2013-08-04T00:00:00.000Z,1830,5,2026-05-07T12:05:00.000Z,,,,,141074615375.83,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",1.4109483420067066,2389857779.345277,2388811491.440935,1046287.90434177,-11.4681,0.00527683,-2.72888579,3.00932379,7.98229652,3.87989759,3.45044406,87191281539.0072,3.2506,141094834200.67,,2026-05-07T12:05:00.000Z,,,,,
1,2026-05-07 20:07:08.487767,3408,USDC,USDC,usd-coin,False,78346644588.34671,78346644588.34671,,2018-10-08T00:00:00.000Z,39305,6,2026-05-07T12:04:00.000Z,,,60901219650.23,60890100266.982574,78332340008.37,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",0.999817419366783,45870450001.20906,43738913399.14552,2131536602.063566,-27.9096,0.0001835,0.0095281,-0.00054032,-0.00607736,-0.01041668,0.00159805,78332340008.36734,2.9203,78332340008.37,,2026-05-07T12:04:00.000Z,1027.0,ethereum,Ethereum,ETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
1,2026-05-07 20:07:08.487767,5426,Solana,SOL,solana,True,577082513.401433,625832283.8356056,,2020-04-10T00:00:00.000Z,1126,7,2026-05-07T12:04:00.000Z,,,525236893.3,47088433969.78871,56106992005.84,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities', 'coinlist-launchpad']",89.65180201630119,5055825299.87933,5055799125.745692,26174.13363646,-9.4214,0.43567593,-0.17225102,7.97547443,13.11506279,8.14485506,10.46073573,51736487238.53475,1.9289,56106992005.84,,2026-05-07T12:04:00.000Z,,,,,
1,2026-05-07 20:07:08.487767,1958,TRON,TRX,tron,True,94793414408.107,94793414473.5158,,2017-09-13T00:00:00.000Z,1338,8,2026-05-07T12:06:00.000Z,,,94667886298.43,32843014050.338192,32886563386.65,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",0.34692877737656713,723408140.3712997,723269526.966221,138613.40507866,-18.8064,0.02052504,1.17231796,6.51809095,10.36039137,21.23739908,28.93402994,32886563363.954823,1.226,32886563386.65,,2026-05-07T12:06:00.000Z,,,,,
1,2026-05-07 20:07:08.487767,74,Dogecoin,DOGE,dogecoin,True,154138656383.70523,154138656383.70523,,2013-12-15T00:00:00.000Z,1439,9,2026-05-07T12:05:00.000Z,,,,,17141716810.9,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",0.11120971995649886,2071282738.4772573,2070210759.873982,1071978.60327545,-15.7505,0.12884247,-4.61967391,4.43764077,22.8493249,24.42596258,18.91057076,17141716810.902864,0.6391,17141716810.9,,2026-05-07T12:05:00.000Z,,,,,
1,2026-05-07 20:07:08.487767,32196,Hyperliquid,HYPE,hyperliquid,False,254982020.74992633,955256845.4309874,961671487.86,2024-07-15T10:14:50.000Z,259,10,2026-05-07T12:05:00.000Z,,,333931719.0,14292701286.40511,40886205073.38,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perp-dex-coins']",42.80126886180917,370728795.70563465,302424630.29234964,68304165.41328496,-3.5628,0.13865742,-4.2266318,10.21687668,17.52299708,40.92467235,26.79021527,10913554025.045002,0.4069,41160759908.63,,2026-05-07T12:05:00.000Z,32196.0,hyperliquid,Hyperliquid,HYPE,0x0d01dc56dcaaca66ad901c959b4011ec
