location,population,date,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,2021-04-30,13232,17.1300
Andorra,77265,2021-04-29,13198,17.0800
Andorra,77265,2021-04-28,13148,17.0200
Andorra,77265,2021-04-27,13121,16.9800
Andorra,77265,2021-04-26,13083,16.9300
Andorra,77265,2021-04-25,13060,16.9000
Andorra,77265,2021-04-24,13024,16.8600
Andorra,77265,2021-04-23,13007,16.8300
Andorra,77265,2021-04-22,12942,16.7500
Andorra,77265,2021-04-21,12917,16.7200
Andorra,77265,2021-04-20,12874,16.6600
Andorra,77265,2021-04-18,12805,16.5700
Andorra,77265,2021-04-19,12805,16.5700
Andorra,77265,2021-04-17,12771,16.5300
Andorra,77265,2021-04-16,12712,16.4500
Andorra,77265,2021-04-14,12641,16.3600
Andorra,77265,2021-04-15,12641,16.3600
Andorra,77265,2021-04-13,12614,16.3300
Andorra,77265,2021-04-12,12581,16.2800
Andorra,77265,2021-04-11,12545,16.2400
Andorra,77265,2021-04-10,12497,16.1700
Andorra,77265,2021-04-09,12456,16.1200
Andorra,77265,2021-04-08,12409,16.0600
Andorra,77265,2021-04-07,12363,16.0000
Andorra,77265,2021-04-06,12328,15.9600
Andorra,77265,2021-04-05,12286,15.9000
Andorra,77265,2021-04-04,12231,15.8300
Andorra,77265,2021-04-03,12174,15.7600
Andorra,77265,2021-04-02,12115,15.6800
Andorra,77265,2021-04-01,12053,15.6000
Andorra,77265,2021-03-31,12010,15.5400
Montenegro,628062,2021-04-30,97389,15.5100
Montenegro,628062,2021-04-29,97257,15.4900
Montenegro,628062,2021-04-28,97080,15.4600
Andorra,77265,2021-03-30,11944,15.4600
Montenegro,628062,2021-04-27,96930,15.4300
Montenegro,628062,2021-04-26,96779,15.4100
Montenegro,628062,2021-04-25,96660,15.3900
Andorra,77265,2021-03-29,11888,15.3900
Montenegro,628062,2021-04-24,96499,15.3600
Montenegro,628062,2021-04-23,96348,15.3400
Andorra,77265,2021-03-28,11850,15.3400
Montenegro,628062,2021-04-22,96187,15.3100
Montenegro,628062,2021-04-21,96048,15.2900
Andorra,77265,2021-03-27,11809,15.2800
Montenegro,628062,2021-04-20,95894,15.2700
Montenegro,628062,2021-04-19,95695,15.2400
Czechia,10708982,2021-04-30,1630758,15.2300
Czechia,10708982,2021-04-29,1628536,15.2100
Montenegro,628062,2021-04-18,95551,15.2100
Montenegro,628062,2021-04-17,95377,15.1900
Czechia,10708982,2021-04-28,1626033,15.1800
Andorra,77265,2021-03-26,11732,15.1800
Montenegro,628062,2021-04-16,95205,15.1600
Czechia,10708982,2021-04-27,1622777,15.1500
Czechia,10708982,2021-04-26,1620206,15.1300
Andorra,77265,2021-03-25,11687,15.1300
Montenegro,628062,2021-04-15,95042,15.1300
Czechia,10708982,2021-04-25,1619383,15.1200
Czechia,10708982,2021-04-24,1618068,15.1100
Montenegro,628062,2021-04-14,94859,15.1000
Czechia,10708982,2021-04-23,1615461,15.0900
Montenegro,628062,2021-04-13,94643,15.0700
Czechia,10708982,2021-04-22,1612832,15.0600
Andorra,77265,2021-03-24,11638,15.0600
Czechia,10708982,2021-04-21,1609861,15.0300
Montenegro,628062,2021-04-12,94419,15.0300
Montenegro,628062,2021-04-11,94269,15.0100
Czechia,10708982,2021-04-20,1606030,15.0000
Andorra,77265,2021-03-23,11591,15.0000
Czechia,10708982,2021-04-19,1602711,14.9700
Montenegro,628062,2021-04-10,94035,14.9700
Czechia,10708982,2021-04-18,1601881,14.9600
Czechia,10708982,2021-04-17,1600341,14.9400
Andorra,77265,2021-03-22,11545,14.9400
Montenegro,628062,2021-04-09,93803,14.9400
"San Marino",33938,2021-04-30,5066,14.9300
"San Marino",33938,2021-04-28,5059,14.9100
"San Marino",33938,2021-04-29,5060,14.9100
Andorra,77265,2021-03-21,11517,14.9100
Czechia,10708982,2021-04-16,1597103,14.9100
"San Marino",33938,2021-04-27,5058,14.9000
Montenegro,628062,2021-04-08,93566,14.9000
"San Marino",33938,2021-04-26,5055,14.8900
Czechia,10708982,2021-04-15,1593847,14.8800
"San Marino",33938,2021-04-22,5045,14.8700
"San Marino",33938,2021-04-23,5047,14.8700
"San Marino",33938,2021-04-24,5047,14.8700
"San Marino",33938,2021-04-25,5047,14.8700
"San Marino",33938,2021-04-21,5044,14.8600
Andorra,77265,2021-03-20,11481,14.8600
Montenegro,628062,2021-04-07,93309,14.8600
"San Marino",33938,2021-04-20,5040,14.8500
Czechia,10708982,2021-04-14,1590124,14.8500
"San Marino",33938,2021-04-19,5030,14.8200
"San Marino",33938,2021-04-17,5026,14.8100
"San Marino",33938,2021-04-18,5026,14.8100
Montenegro,628062,2021-04-06,93030,14.8100
Czechia,10708982,2021-04-13,1585037,14.8000
Andorra,77265,2021-03-19,11431,14.7900
"San Marino",33938,2021-04-16,5016,14.7800
Czechia,10708982,2021-04-12,1581184,14.7700
Montenegro,628062,2021-04-05,92740,14.7700
"San Marino",33938,2021-04-15,5010,14.7600
Czechia,10708982,2021-04-11,1580189,14.7600
Andorra,77265,2021-03-18,11393,14.7500
Czechia,10708982,2021-04-10,1577972,14.7400
"San Marino",33938,2021-04-14,5004,14.7400
Montenegro,628062,2021-04-04,92519,14.7300
Andorra,77265,2021-03-17,11360,14.7000
Czechia,10708982,2021-04-09,1573153,14.6900
"San Marino",33938,2021-04-13,4985,14.6900
Montenegro,628062,2021-04-03,92222,14.6800
Andorra,77265,2021-03-16,11319,14.6500
Czechia,10708982,2021-04-08,1567848,14.6400
