brand,brand_owner,brand_tier,category,business_mode,msrp_gmv,transaction_gmv,gross_sales,gmv,net_sales,recognized_revenue,cogs,gross_profit,gross_margin_pct,gross_units,returned_units,net_units,return_rate,discount_amount,markdown_amount,discount_depth,discount_factor,cost_to_msrp_ratio,price_cost_spread,markdown_rate,net_aur,orders,revenue_share,gross_profit_share
Adidas,External Brand,Tier 1,Accessories,Buyout,287708.2,66365.31,66365.31,66365.31,63819.84,63819.84,39872.8,23947.04,0.37522876898469193,478,18,460,0.03765690376569038,221342.89,221342.89,0.7693311834699185,0.2306688165300815,0.144,0.08666881653008152,0.7693311834699185,138.73878260869566,291,0.00401780547527946,0.0038623890016222235
Adidas,External Brand,Tier 1,Accessories,Consignment,201869.52,47461.36,47461.36,47461.36,45004.45,11994.54,2077.92,9916.62,0.8267611763352325,560,30,530,0.05357142857142857,154408.16,154408.16,0.7648909057692315,0.23510909423076848,0.023935327635327634,0.21117376659544085,0.7648909057692316,22.63120754716981,351,0.0007551214243949609,0.0015994395975981572
Adidas,External Brand,Tier 1,Bags,Buyout,74860.02,16874.36,16874.36,16874.36,16501.07,16501.07,8134.5,8366.57,0.507031968229939,87,2,85,0.022988505747126436,57985.66,57985.66,0.7745878240481368,0.22541217595186322,0.1112,0.11421217595186323,0.7745878240481368,194.13023529411765,58,0.0010388319587446419,0.0013494339153942384
Adidas,External Brand,Tier 1,Bags,Consignment,421611.39,74292.82,74292.82,74292.82,70803.94,19415.99,3336.39,16079.6,0.8281627668741073,711,34,677,0.04781997187060478,347318.57,347318.57,0.8237883943315668,0.17621160566843322,0.02728975501113586,0.14892185065729735,0.8237883943315668,28.679453471196457,449,0.0012223420010136542,0.0025934591578117673
Adidas,External Brand,Tier 1,Basketball Shoes,Consignment,160445.62,37299.12,37299.12,37299.12,35920.14,8411.2,1519.48,6891.72,0.8193503899562488,286,11,275,0.038461538461538464,123146.5,123146.5,0.7675279636801553,0.23247203631984473,0.026104458598726114,0.2063675777211186,0.7675279636801553,30.58618181818182,157,0.0005295307135472386,0.0011115571498715462
Adidas,External Brand,Tier 1,Kids Apparel,Buyout,392921.45999999996,50021.02,50021.02,50021.02,47923.07,47923.07,49969.200000000004,-2046.13,-0.04269613778916918,971,39,932,0.04016477857878476,342900.44,342900.44,0.8726946092483725,0.12730539075162756,0.13296875000000002,-0.005663359248372468,0.8726946092483725,51.419603004291844,640,0.003017017482936354,-0.0003300178229914545
Adidas,External Brand,Tier 1,Kids Apparel,Consignment,52304.75,11899.39,11899.39,11899.39,11733.72,2543.86,468.45,2075.41,0.8158507150550737,85,1,84,0.011764705882352941,40405.36,40405.36,0.7724988648258524,0.22750113517414766,0.0125,0.21500113517414765,0.7724988648258524,30.28404761904762,59,0.00016014980038095376,0.00033474035863542126
Adidas,External Brand,Tier 1,Lifestyle Apparel,Buyout,171175.53,39966.81,39966.81,39966.81,38300.42,38300.42,22203.0,16097.42,0.4202935633604018,157,7,150,0.044585987261146494,131208.72,131208.72,0.766515634565291,0.23348436543470902,0.1358,0.09768436543470901,0.7665156345652909,255.33613333333332,109,0.0024112194136102962,0.0025963333239721323
Adidas,External Brand,Tier 1,Lifestyle Apparel,Consignment,439453.26,101112.91,101112.91,101112.91,97751.89,31134.59,5578.86,25555.73,0.8208147272856331,623,20,603,0.03210272873194221,338340.35,338340.35,0.7699120265941366,0.23008797340586346,0.023110290237467017,0.20697768316839643,0.7699120265941365,51.632819237147594,379,0.0019600915040304256,0.004121852658216928
Adidas,External Brand,Tier 1,Outdoor Apparel,Buyout,206174.71,27898.26,27898.26,27898.26,26868.45,26868.45,23504.32,3364.13,0.12520744590774682,233,9,224,0.03862660944206009,178276.45,178276.45,0.8646863138548855,0.1353136861451145,0.1186,0.016713686145114495,0.8646863138548856,119.9484375,157,0.0016915148255193435,0.0005425964424842222
