brand,brand_owner,brand_tier,recognized_revenue,gross_profit,gross_margin_pct,revenue_share,gross_profit_share,gmroi,sell_through_rate,inventory_value,inventory_age_days,weeks_of_supply,return_rate,markdown_rate,discount_factor,discount_depth,price_cost_spread,buyout_revenue_share,consignment_revenue_share,own_brand_revenue_share,revenue_score,margin_score,gmroi_score,inventory_score,markdown_score,spread_score,final_brand_score,brand_tier_score_label
Adidas,External Brand,Tier 1,822894.36,398411.56,0.4841588171779425,0.05180566834991419,0.06425931670315632,0.019599532689667323,0.008086856248939645,61771745.49,167.44705513784461,731.5027237364244,0.0428964600930056,0.7970204296873514,0.20925550634470538,0.7907444936552946,0.1348171975631983,0.6682222612389761,0.33177773876102395,0.0,76.19,71.43,90.48,28.57,61.9,80.95,70.67,B
Asics,External Brand,Tier 3,383726.68,183112.44999999998,0.47719499201879834,0.024157678175232174,0.029533984698739354,0.015218069374959136,0.009021290000596633,36997196.63,146.95740553306342,720.6955292678812,0.04583723105706267,0.807521338212266,0.19327251632635342,0.8067274836736467,0.11674342235411451,0.6934989508678416,0.30650104913215837,0.0,28.57,66.67,66.67,76.19,38.1,66.67,56.76,C
Brand A,Himaxx Own,Tier 2,3090064.55,998140.0,0.32301590592986157,0.19453634274164525,0.1609887885132862,0.016536273936259498,0.009826599194112913,243373207.07,151.68512901572112,687.7510238095239,0.041570921245038646,0.7634592774635485,0.2378169758032149,0.7621830241967852,0.07224995958808739,0.0,0.0,1.0,100.0,14.29,71.43,0.0,95.24,9.52,51.33,C
Brand B,Himaxx Own,Tier 2,1856034.67,489789.24,0.2638901351988215,0.11684746090611488,0.07899751174629129,0.01177769800217342,0.008068817888534623,159255291.29,173.31397527910687,725.0582200956939,0.04230574751390528,0.7911432517018533,0.2170264133212836,0.7829735866787164,0.0619892090881544,0.0,0.0,1.0,95.24,9.52,38.1,4.76,71.43,4.76,39.71,D
Brooks Brothers,External Brand,Tier 1,597354.92,328270.13,0.5495395099449419,0.03760673590314742,0.05294629063437892,0.016867191273391778,0.006139935189390475,60311707.42,150.24708744517545,792.4768667763158,0.03861749372465727,0.7868190105309197,0.21878471160333582,0.7812152883966642,0.13137933385728814,0.8830345282834533,0.11696547171654666,0.0,47.62,90.48,80.95,38.1,80.95,76.19,69.24,B
Champion,External Brand,Tier 3,434475.98,161362.09,0.37139473164891645,0.02735262218334313,0.026025895546788885,0.006301216715402743,0.006407546615078491,51160031.74,148.1545209176788,779.6341413630229,0.03810733566211496,0.8056816882670943,0.19236564711007345,0.8076343528899266,0.09052607337519343,0.9700562272740602,0.02994377272593988,0.0,38.1,28.57,4.76,57.14,47.62,23.81,30.86,D
Cole Haan,External Brand,Tier 2,1086413.52,507488.39,0.4671226753510947,0.06839563040386236,0.08185218615690998,0.016854207458671153,0.0059040777154582245,106986492.27,222.33585948043185,781.5447153761808,0.03724894908921065,0.8476765983698507,0.15247271985058997,0.84752728014941,0.07476251698284322,0.9713648998035297,0.028635100196470305,0.0,90.48,61.9,76.19,9.52,0.0,14.29,53.05,C
Columbia,External Brand,Tier 3,372709.18,192241.17,0.5157940300799675,0.023464066724249354,0.03100634486212025,0.011892902991452518,0.0052264082712747606,44830151.91,178.35754048582996,818.4329322705803,0.045081967213114756,0.8077116820239973,0.18342296145233378,0.8165770385476663,0.10620452878141884,0.8111707363902333,0.18882926360976676,0.0,23.81,76.19,47.62,66.67,33.33,52.38,50.38,C
Fila,External Brand,Tier 3,358026.11,142392.89,0.39771649615163546,0.022539687737402763,0.022966376313949575,0.01272888060759161,0.008382874075244233,35255588.04,144.38815789473685,724.7896299342104,0.04514752932811945,0.8145761510117169,0.19026498633896322,0.8097350136610367,0.11683408106121583,0.8803456541200305,0.11965434587996948,0.0,19.05,47.62,52.38,80.95,28.57,71.43,47.52,C
Hoka,External Brand,Tier 1,294862.7,177418.68000000002,0.6016992993688249,0.01856320809509527,0.028615643449642743,0.013053665753821015,0.007052226167043368,24293087.57,149.01069078947367,784.1128508771931,0.039755351681957186,0.7736318236372199,0.2232813715411119,0.7767186284588882,0.15195730654942943,0.7242317865230156,0.2757682134769843,0.0,9.52,100.0,61.9,95.24,90.48,100.0,70.09,B
