snapshot_month,store_id,channel,store_format,brand,brand_tier,category,business_mode,inventory_risk_owner,avg_inventory_value,inventory_value,ending_inventory_units,sold_units,recognized_revenue,gross_profit,cogs,gmroi,inventory_turnover,sales_to_inventory_ratio,sell_through_rate,inventory_age_days,weeks_of_supply,stockout_rate,overstock_rate,clearance_rate,inventory_risk_flag
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Accessories,Buyout,Himaxx,5200.8,5200.8,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,999.0,0.0,1.0,1.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Accessories,Consignment,Brand Partner,1034.36,2324.92,265,6,140.08,117.57,22.51,0.1136644881859314,0.02176224912022894,0.13542673730616037,0.02214022140221402,184.0,215.5,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Bags,Buyout,Himaxx,8421.6,10239.9,107,1,161.48,65.78,95.7,0.007810867293625914,0.011363636363636364,0.019174503657262275,0.009259259259259259,77.0,428.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Bags,Consignment,Brand Partner,1343.2633333333333,4274.01,322,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,999.0,0.0,1.0,0.3333333333333333,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Basketball Shoes,Consignment,Brand Partner,1885.71,4136.88,234,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Kids Apparel,Buyout,Himaxx,4605.42,9371.279999999999,184,3,126.82,0.7000000000000011,126.12,0.00015199482349058307,0.027385124483760438,0.02753711930725102,0.016042780748663103,344.5,293.0,0.0,1.0,1.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Kids Apparel,Consignment,Brand Partner,590.59,598.26,78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Lifestyle Apparel,Buyout,Himaxx,16578.24,16578.24,112,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Lifestyle Apparel,Consignment,Brand Partner,1829.8700000000001,4087.94,263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Outdoor Apparel,Buyout,Himaxx,12014.49,13326.11,127,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,999.0,0.0,1.0,1.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Outdoor Apparel,Consignment,Brand Partner,11595.39,12010.86,159,3,272.59,241.61,30.98,0.020836729079401387,0.0026717514460488177,0.0235084805254502,0.018518518518518517,119.0,212.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Performance Apparel,Buyout,Himaxx,13707.72,30549.96,223,3,299.52,178.02,121.5,0.012986842450823334,0.00886361845733645,0.021850460908159782,0.01327433628318584,121.0,540.165,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Performance Apparel,Consignment,Brand Partner,5729.796666666666,18925.14,356,5,365.82,300.27,65.55,0.05240500099189093,0.01144019653984231,0.06384519753173325,0.013850415512465374,148.33333333333334,490.5566666666667,0.0,1.0,0.6666666666666666,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Running Shoes,Consignment,Brand Partner,2673.596666666667,8133.34,287,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,999.0,0.0,1.0,0.3333333333333333,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Sportswear,Consignment,Brand Partner,1821.3533333333335,5871.67,403,4,55.01,43.22,11.79,0.02372960765438154,0.0064732085665237925,0.03020281622090533,0.009828009828009828,214.33333333333334,445.3333333333333,0.0,1.0,0.6666666666666666,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Training Shoes,Buyout,Himaxx,28409.22,32467.68,144,2,751.12,300.18,450.94,0.010566287986787389,0.015873015873015872,0.02643930385980326,0.0136986301369863,108.0,288.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Training Shoes,Consignment,Brand Partner,3280.545,7424.67,213,2,135.97,119.33,16.64,0.036375053535311966,0.005072327921122863,0.041447381456434826,0.009302325581395349,116.0,616.5,0.0,1.0,0.5,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Underwear,Buyout,Himaxx,10387.52,10982.4,120,4,496.73,130.65,366.08,0.01257759311173408,0.035242290748898675,0.04781988386063276,0.03225806451612903,53.0,120.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Underwear,Consignment,Brand Partner,1804.0466666666664,5679.86,302,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,999.0,0.0,1.0,0.3333333333333333,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Yoga Apparel,Buyout,Himaxx,4447.46,5509.54,83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Adidas,Tier 1,Yoga Apparel,Consignment,Brand Partner,2388.45,7754.15,300,4,86.59,74.28,12.309999999999999,0.031099667148150476,0.005153970148003935,0.03625363729615441,0.013157894736842105,101.0,534.3333333333334,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Accessories,Consignment,Brand Partner,375.76,444.08,91,1,10.71,9.41,1.3,0.025042580370449225,0.0034596550989993615,0.02850223546944859,0.010869565217391304,99.0,364.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Bags,Buyout,Himaxx,13131.85,13408.31,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Kids Apparel,Consignment,Brand Partner,5100.9,5586.7,161,1,38.82,30.19,8.63,0.005918563390774178,0.001691858299515772,0.007610421690289949,0.006172839506172839,97.0,644.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Outdoor Apparel,Buyout,Himaxx,20069.83,40139.66,202,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,999.0,0.0,1.0,0.5,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Performance Apparel,Consignment,Brand Partner,3841.07,4151.63,127,1,23.04,18.07,4.97,0.004704418300109084,0.0012939102906221443,0.005998328590731228,0.0078125,61.0,508.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Sportswear,Buyout,Himaxx,7878.929999999999,16785.09,297,1,93.53,32.28,61.25,0.004097003019445535,0.007773898232374193,0.011870901251819728,0.003355704697986577,51.0,841.5,0.0,1.0,0.5,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Sportswear,Consignment,Brand Partner,1627.33,5405.43,293,6,312.15,261.44,50.71,0.16065579814788641,0.0311614730878187,0.1918172712357051,0.020066889632107024,58.0,419.3333333333333,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Training Shoes,Buyout,Himaxx,8688.26,9746.24,152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Training Shoes,Consignment,Brand Partner,2404.26,3036.96,72,6,385.76,318.53,67.23,0.13248567126683466,0.027962865913004415,0.1604485371798391,0.07692307692307693,149.0,48.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Underwear,Buyout,Himaxx,4256.13,10347.75,217,2,132.6,-16.38,148.98,-0.0038485666556237704,0.035003630058292386,0.03115506340266862,0.0091324200913242,326.0,562.5,0.0,1.0,1.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Underwear,Consignment,Brand Partner,1066.5,1220.55,103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Yoga Apparel,Buyout,Himaxx,8083.98,9224.67,93,5,591.72,95.77,495.95,0.011846887300562346,0.06134973119676199,0.07319661849732434,0.05102040816326531,223.0,74.4,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Asics,Tier 3,Yoga Apparel,Consignment,Brand Partner,512.44,595.99,107,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand A,Tier 2,Accessories,Own Brand,Himaxx,5179.1900000000005,11032.81,182,1,85.06,45.94,39.12,0.0088701128941012,0.007553304667332149,0.01642341756143335,0.00546448087431694,126.5,657.5,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand A,Tier 2,Bags,Own Brand,Himaxx,12033.436666666666,41367.43,395,4,789.15,272.47,516.6800000000001,0.022642741849031214,0.04293702741056795,0.06557976925959916,0.010025062656641603,110.66666666666667,467.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand A,Tier 2,Basketball Shoes,Own Brand,Himaxx,16989.3525,78960.27,474,5,1282.21,502.92,779.29,0.029602069884652756,0.0458693172679771,0.07547138715262985,0.010438413361169102,139.25,607.5,0.0,1.0,0.25,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand A,Tier 2,Kids Apparel,Own Brand,Himaxx,4247.969999999999,10368.78,168,3,266.84,99.34,167.5,0.023385287560882026,0.039430598615338625,0.06281588617622065,0.017543859649122806,120.0,237.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand A,Tier 2,Lifestyle Apparel,Own Brand,Himaxx,10603.65,56657.15,735,6,773.49,212.90999999999997,560.5799999999999,0.020078935083674015,0.05286670156031177,0.0729456366439858,0.008097165991902834,193.0,669.534,0.0,1.0,0.4,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand A,Tier 2,Outdoor Apparel,Own Brand,Himaxx,23414.63,199225.36,900,13,5456.54,2716.64,2739.8999999999996,0.11602318721243939,0.1170165832216866,0.233039770434126,0.014238773274917854,112.0,479.25,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand A,Tier 2,Performance Apparel,Own Brand,Himaxx,25565.405714285713,192758.7,839,10,2234.0499999999997,964.6100000000001,1269.44,0.03773106559623206,0.0496546002119829,0.08738566580821494,0.011778563015312132,197.0,673.1428571428571,0.0,1.0,0.5714285714285714,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand A,Tier 2,Running Shoes,Own Brand,Himaxx,23036.806666666667,72254.5,330,3,953.23,246.08999999999997,707.14,0.010682470168753132,0.030696094742297904,0.04137856491105104,0.009009009009009009,165.33333333333334,615.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand A,Tier 2,Sportswear,Own Brand,Himaxx,13137.506666666666,43480.35,247,11,2723.82,553.09,2170.73,0.042100073783660624,0.1652315051156333,0.20733157889929396,0.04263565891472868,126.0,383.1766666666667,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand A,Tier 2,Training Shoes,Own Brand,Himaxx,29370.65,62115.4,308,5,1153.17,346.44,806.73,0.01179544885795854,0.027467216421836083,0.03926266527979463,0.01597444089456869,110.0,266.665,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand A,Tier 2,Underwear,Own Brand,Himaxx,8278.823333333334,25594.94,336,3,367.99,61.52,306.47,0.007431007707617065,0.03701854571120614,0.04444955341882321,0.008849557522123894,95.0,581.0,0.0,1.0,0.3333333333333333,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand B,Tier 2,Accessories,Own Brand,Himaxx,6489.7519999999995,37859.33,495,4,608.27,285.54,322.73,0.04399859963832209,0.04972917301000101,0.09372777264832309,0.008016032064128256,135.8,754.066,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand B,Tier 2,Basketball Shoes,Own Brand,Himaxx,21462.934,112837.3,670,8,2263.09,647.25,1615.84,0.030156641212240598,0.07528514041929216,0.10544178163153277,0.011799410029498525,155.2,541.8,0.0,1.0,0.4,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand B,Tier 2,Kids Apparel,Own Brand,Himaxx,10112.984,54221.46000000001,690,13,1735.85,856.77,879.08,0.08471980179143959,0.08692587667497546,0.17164567846641504,0.01849217638691323,143.0,347.18600000000004,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand B,Tier 2,Lifestyle Apparel,Own Brand,Himaxx,2964.8,3175.68,128,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand B,Tier 2,Outdoor Apparel,Own Brand,Himaxx,16275.6,16830.45,91,2,374.99,5.09,369.9,0.0003127380864607142,0.022727272727272724,0.02304001081373344,0.021505376344086023,305.0,182.0,0.0,1.0,1.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand B,Tier 2,Performance Apparel,Own Brand,Himaxx,7981.37,9799.91,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand B,Tier 2,Running Shoes,Own Brand,Himaxx,17601.423333333336,55800.28,297,9,2094.46,725.24,1369.22,0.04120348600596126,0.07779029991324564,0.1189937859192069,0.029411764705882353,110.66666666666667,154.44333333333333,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand B,Tier 2,Sportswear,Own Brand,Himaxx,13867.8725,56172.2,383,10,2598.0,1098.0700000000002,1499.93,0.07918085488599641,0.10815862346585607,0.18733947835185247,0.02544529262086514,220.25,559.69,0.0,1.0,0.25,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand B,Tier 2,Training Shoes,Own Brand,Himaxx,9982.24,45222.46000000001,311,5,994.95,-127.31,1122.26,-0.012753650483258267,0.11242566798634375,0.09967201750308549,0.015822784810126583,190.5,558.0,0.0,1.0,0.5,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand B,Tier 2,Underwear,Own Brand,Himaxx,5565.724,30870.12,634,7,309.02,-29.460000000000008,338.48,-0.005293111911406316,0.06081508892643617,0.055521977015029846,0.0109204368174727,170.6,579.0,0.0,1.0,0.4,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brand B,Tier 2,Yoga Apparel,Own Brand,Himaxx,7925.6,35739.08,401,6,596.48,312.7,283.78,0.03945442616331886,0.03580549106692237,0.07525991723024124,0.014742014742014743,168.0,591.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brooks Brothers,Tier 1,Accessories,Buyout,Himaxx,4526.77,9615.76,176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.5,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brooks Brothers,Tier 1,Accessories,Consignment,Brand Partner,1147.3,1206.9,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brooks Brothers,Tier 1,Bags,Buyout,Himaxx,12619.8,13420.08,109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brooks Brothers,Tier 1,Basketball Shoes,Buyout,Himaxx,18732.01,20555.48,124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,999.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brooks Brothers,Tier 1,Kids Apparel,Buyout,Himaxx,5321.71,10589.84,212,2,284.88,177.72,107.16000000000001,0.03339528084018107,0.020136384733478528,0.05353166557365959,0.009345794392523364,138.5,424.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brooks Brothers,Tier 1,Kids Apparel,Consignment,Brand Partner,2001.4166666666667,6406.28,319,3,182.69,151.81,30.880000000000003,0.07585127201565557,0.015429071074655453,0.09128034309031102,0.009316770186335404,172.33333333333334,613.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brooks Brothers,Tier 1,Lifestyle Apparel,Buyout,Himaxx,3667.1049999999996,8744.75,175,5,577.22,327.37,249.85,0.08927205520430968,0.0681327641286519,0.15740481933296158,0.027777777777777776,102.0,140.0,0.0,1.0,0.0,High Risk
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Brooks Brothers,Tier 1,Outdoor Apparel,Buyout,Himaxx,16669.275,38970.33,176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,999.0,0.0,1.0,0.0,High Risk
