risk_id,risk_type,entity_type,entity_name,month_or_snapshot,channel,store_id,brand,sku,key_metric,metric_value,risk_level,risk_reason,recommended_action,owner_department
RISK000001,Negative Store CM,Store,Himaxx Beijing Warehouse 1,2026-01-01,Himaxx Warehouse Outlet,S001,,,store_cm,-8237.25,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000002,Negative Store CM,Store,Himaxx Nanjing Warehouse 2,2026-01-01,Himaxx Warehouse Outlet,S002,,,store_cm,-6787.54,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000003,Negative Store CM,Store,Himaxx Shenzhen Warehouse 3,2026-01-01,Himaxx Warehouse Outlet,S003,,,store_cm,-41670.22,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000004,Negative Store CM,Store,Himaxx Xiamen Warehouse 4,2026-01-01,Himaxx Warehouse Outlet,S004,,,store_cm,-10814.93,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000005,Negative Store CM,Store,Himaxx Changsha Warehouse 5,2026-01-01,Himaxx Warehouse Outlet,S005,,,store_cm,-45544.26,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000006,Negative Store CM,Store,Himaxx Qingdao Warehouse 6,2026-01-01,Himaxx Warehouse Outlet,S006,,,store_cm,-27537.38,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000007,Negative Store CM,Store,Himaxx Wuhan Warehouse 7,2026-01-01,Himaxx Warehouse Outlet,S007,,,store_cm,-27480.78,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000008,Negative Store CM,Store,Himaxx Changsha Warehouse 9,2026-01-01,Himaxx Warehouse Outlet,S009,,,store_cm,-12195.67,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000009,Negative Store CM,Store,Himaxx Changsha Warehouse 10,2026-01-01,Himaxx Warehouse Outlet,S010,,,store_cm,-1834.73,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000010,Negative Store CM,Store,Himaxx Chengdu Warehouse 11,2026-01-01,Himaxx Warehouse Outlet,S011,,,store_cm,-39844.78,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000011,Negative Store CM,Store,Himaxx Beijing Warehouse 12,2026-01-01,Himaxx Warehouse Outlet,S012,,,store_cm,-15855.54,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000012,Negative Store CM,Store,Himaxx Shenzhen Warehouse 13,2026-01-01,Himaxx Warehouse Outlet,S013,,,store_cm,-5210.02,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000013,Negative Store CM,Store,Himaxx Tianjin Warehouse 14,2026-01-01,Himaxx Warehouse Outlet,S014,,,store_cm,-43036.95,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000014,Negative Store CM,Store,Himaxx Hangzhou Warehouse 15,2026-01-01,Himaxx Warehouse Outlet,S015,,,store_cm,-6802.36,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000015,Negative Store CM,Store,Himaxx Hangzhou Warehouse 17,2026-01-01,Himaxx Warehouse Outlet,S017,,,store_cm,-4530.54,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000016,Negative Store CM,Store,Himaxx Qingdao Warehouse 19,2026-01-01,Himaxx Warehouse Outlet,S019,,,store_cm,-50950.51,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000017,Negative Store CM,Store,Himaxx Changsha Warehouse 21,2026-01-01,Himaxx Warehouse Outlet,S021,,,store_cm,-21492.51,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000018,Negative Store CM,Store,Himaxx Xiamen Warehouse 22,2026-01-01,Himaxx Warehouse Outlet,S022,,,store_cm,-50251.51,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000019,Negative Store CM,Store,Himaxx Changsha Warehouse 23,2026-01-01,Himaxx Warehouse Outlet,S023,,,store_cm,-28622.08,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000020,Negative Store CM,Store,Himaxx Chongqing Warehouse 24,2026-01-01,Himaxx Warehouse Outlet,S024,,,store_cm,-37651.3,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000021,Negative Store CM,Store,Himaxx Hangzhou Warehouse 25,2026-01-01,Himaxx Warehouse Outlet,S025,,,store_cm,-15060.08,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000022,Negative Store CM,Store,Himaxx Chengdu Warehouse 27,2026-01-01,Himaxx Warehouse Outlet,S027,,,store_cm,-42835.0,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000023,Negative Store CM,Store,Himaxx Chongqing Warehouse 28,2026-01-01,Himaxx Warehouse Outlet,S028,,,store_cm,-45892.79,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000024,Negative Store CM,Store,Himaxx Suzhou Warehouse 29,2026-01-01,Himaxx Warehouse Outlet,S029,,,store_cm,-31243.19,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000025,Negative Store CM,Store,Himaxx Beijing Warehouse 30,2026-01-01,Himaxx Warehouse Outlet,S030,,,store_cm,-34618.71,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000026,Negative Store CM,Store,Himaxx Xi'an Warehouse 31,2026-01-01,Himaxx Warehouse Outlet,S031,,,store_cm,-27068.18,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000027,Negative Store CM,Store,Himaxx Wuhan Warehouse 32,2026-01-01,Himaxx Warehouse Outlet,S032,,,store_cm,-20589.22,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000028,Negative Store CM,Store,Himaxx Chongqing Warehouse 33,2026-01-01,Himaxx Warehouse Outlet,S033,,,store_cm,-31244.35,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000029,Negative Store CM,Store,Himaxx Chongqing Warehouse 35,2026-01-01,Himaxx Warehouse Outlet,S035,,,store_cm,-38040.15,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
