month,store_id,store_name,city,region,channel,store_format,profit_profile,store_size_sqm,staff_count,store_maturity,trade_area_type,gmv,msrp_gmv,transaction_gmv,gross_sales,net_sales,recognized_revenue,cogs,gross_profit,gross_margin_pct,rent_expense,payroll_expense,utilities_expense,local_marketing_expense,store_direct_costs,store_cm,store_cm_pct,market_contribution,ebitda_proxy,operating_profit,operating_margin,bep_revenue,rent_to_sales_ratio,payroll_to_sales_ratio,sales_per_sqm,sales_per_staff,gross_profit_per_staff,store_cm_per_staff,store_health_flag,rent_pressure_flag,payroll_pressure_flag,bep_gap
2026-01-01,S001,Himaxx Beijing Warehouse 1,Beijing,North China,Himaxx Warehouse Outlet,Mall Warehouse,High Profit,15578,62.0,Mature,Suburban Mall,108240.02,529180.48,108240.02,108240.02,101925.68,77098.86,45960.22,31138.64,0.4039,11083.92,20805.35,3465.79,4020.82,39375.89,-8237.25,-0.1068,-17269.16,-27300.86,-27300.86,-0.3541,97494.17,0.1438,0.2699,4.949214276543844,1243.53,502.2361290322581,-132.85887096774192,Loss Making,Normal,High Payroll Pressure,-20395.309999999998
2026-01-01,S002,Himaxx Nanjing Warehouse 2,Nanjing,East China,Himaxx Warehouse Outlet,Shopping Center Warehouse,Stable,18227,73.0,New Store,Outlet Cluster,76469.93,369943.13,76469.93,76469.93,73132.1,53486.66,30399.75,23086.91,0.4316,9076.55,15104.29,2519.98,3173.62,29874.45,-6787.54,-0.1269,-16279.9,-22418.88,-22418.88,-0.4191,69211.71,0.1697,0.2824,2.9344741317825207,732.6939726027398,316.2590410958904,-92.98,Loss Making,Normal,High Payroll Pressure,-15725.050000000003
2026-01-01,S003,Himaxx Shenzhen Warehouse 3,Shenzhen,South China,Himaxx Warehouse Outlet,Warehouse Outlet,At Risk,20931,84.0,New Store,Suburban Mall,43368.18,232004.4,43368.18,43368.18,42085.74,34052.97,23282.06,10770.91,0.3163,16467.34,25752.05,4003.76,6217.99,52441.13,-41670.22,-1.2237,-58173.98,-70588.7,-70588.7,-2.0729,165796.23,0.4836,0.7562,1.6269155797620753,405.39250000000004,128.22511904761905,-496.07404761904763,Loss Making,High Rent Pressure,High Payroll Pressure,-131743.26
2026-01-01,S004,Himaxx Xiamen Warehouse 4,Xiamen,South China,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Stable,8222,33.0,Mature,Suburban Mall,49317.84,301450.41,49317.84,49317.84,46802.81,34274.22,24568.83,9705.39,0.2832,6674.25,9889.82,1640.99,2315.26,20520.32,-10814.93,-0.3155,-16091.69,-19312.97,-19312.97,-0.5635,72466.74,0.1947,0.2885,4.16859888105084,1038.6127272727274,294.10272727272724,-327.72515151515154,Loss Making,Normal,High Payroll Pressure,-38192.520000000004
2026-01-01,S005,Himaxx Changsha Warehouse 5,Changsha,Central China,Himaxx Warehouse Outlet,Shopping Center Warehouse,At Risk,13123,52.0,Ramp-up,Transport Hub,61508.65,310307.78,61508.65,61508.65,57330.94,46158.66,27840.71,18317.95,0.3968,20734.22,33317.57,5060.22,4750.2,63862.21,-45544.26,-0.9867,-61053.25,-71506.46,-71506.46,-1.5491,160923.8,0.4492,0.7218,3.517386268383754,887.6665384615385,352.26826923076925,-875.8511538461539,Loss Making,High Rent Pressure,High Payroll Pressure,-114765.13999999998
2026-01-01,S006,Himaxx Qingdao Warehouse 6,Qingdao,North China,Himaxx Warehouse Outlet,Warehouse Outlet,At Risk,18648,75.0,Mature,Suburban Mall,55594.07,282720.16,55594.07,55594.07,52862.33,40798.02,25466.8,15331.22,0.3758,11263.43,23456.12,4493.71,3655.33,42868.6,-27537.38,-0.675,-38363.79,-47584.18,-47584.18,-1.1663,114077.93,0.2761,0.5749,2.1877960102960103,543.9735999999999,204.41626666666664,-367.1650666666667,Loss Making,High Rent Pressure,High Payroll Pressure,-73279.91
2026-01-01,S007,Himaxx Wuhan Warehouse 7,Wuhan,Central China,Himaxx Warehouse Outlet,Mall Warehouse,Stable,16119,64.0,Mature,Suburban Mall,90460.22,442590.02,90460.22,90460.22,86698.51,68315.44,41253.21,27062.23,0.3961,20506.2,24519.11,3471.53,6046.16,54543.01,-27480.78,-0.4023,-45456.13,-57540.43,-57540.43,-0.8423,137687.47,0.3002,0.3589,4.238193436317389,1067.42875,422.84734375,-429.3871875,Loss Making,High Rent Pressure,High Payroll Pressure,-69372.03
2026-01-01,S008,Himaxx Changsha Warehouse 8,Changsha,Central China,Himaxx Warehouse Outlet,Mall Warehouse,High Profit,11871,47.0,Mature,Industrial Park,93875.07,463408.98,93875.07,93875.07,90618.18,71062.61,43406.21,27656.4,0.3892,4885.2,8468.44,1585.72,2270.42,17209.78,10446.62,0.147,5461.52,930.81,930.81,0.0131,44220.2,0.0687,0.1192,5.986236205879876,1511.970425531915,588.4340425531915,222.2685106382979,Healthy,Normal,Normal,26842.410000000003
2026-01-01,S009,Himaxx Changsha Warehouse 9,Changsha,Central China,Himaxx Warehouse Outlet,Mall Warehouse,High Profit,11335,45.0,Mature,Suburban Mall,88768.07,436152.53,88768.07,88768.07,85142.37,62236.14,37088.05,25148.09,0.4041,13463.04,17178.76,2992.05,3709.91,37343.76,-12195.67,-0.196,-25395.41,-33202.04,-33202.04,-0.5335,92417.82,0.2163,0.276,5.4906166740185265,1383.0253333333333,558.8464444444445,-271.0148888888889,Loss Making,High Rent Pressure,High Payroll Pressure,-30181.680000000008
2026-01-01,S010,Himaxx Changsha Warehouse 10,Changsha,Central China,Himaxx Warehouse Outlet,Community Warehouse,Stable,10286,41.0,New Store,Suburban Mall,77496.03,388938.04,77496.03,77496.03,74679.51,56524.9,35658.05,20866.85,0.3692,7694.6,11287.92,1786.39,1932.67,22701.58,-1834.73,-0.0325,-8866.05,-12385.92,-12385.92,-0.2191,61494.89,0.1361,0.1997,5.495323741007194,1378.6560975609757,508.94756097560975,-44.74951219512195,Loss Making,Normal,High Payroll Pressure,-4969.989999999998
2026-01-01,S011,Himaxx Chengdu Warehouse 11,Chengdu,West China,Himaxx Warehouse Outlet,Community Warehouse,At Risk,13815,55.0,Ramp-up,Suburban Mall,59346.96,290658.2,59346.96,59346.96,56970.37,46488.36,26998.94,19489.42,0.4192,23467.33,27023.77,4023.5,4819.61,59334.2,-39844.78,-0.8571,-56630.43,-68802.23,-68802.23,-1.48,141530.62,0.5048,0.5813,3.3650640608034745,845.242909090909,354.3530909090909,-724.4505454545455,Loss Making,High Rent Pressure,High Payroll Pressure,-95042.26
2026-01-01,S012,Himaxx Beijing Warehouse 12,Beijing,North China,Himaxx Warehouse Outlet,Warehouse Outlet,High Profit,17792,71.0,Mature,Community,112428.22,573543.29,112428.22,112428.22,108055.86,82223.06,50792.4,31430.66,0.3823,17946.76,20417.95,4946.14,3975.35,47286.2,-15855.54,-0.1928,-30224.09,-42678.12,-42678.12,-0.5191,123701.38,0.2183,0.2483,4.621350044964029,1158.0712676056337,442.68535211267607,-223.3174647887324,Loss Making,High Rent Pressure,High Payroll Pressure,-41478.32000000001
2026-01-01,S013,Himaxx Shenzhen Warehouse 13,Shenzhen,South China,Himaxx Warehouse Outlet,Community Warehouse,High Profit,10494,42.0,Ramp-up,Suburban Mall,102089.16,500148.8,102089.16,102089.16,97129.23,78552.77,46701.75,31851.02,0.4055,13862.0,16342.65,2544.45,4311.94,37061.04,-5210.02,-0.0663,-16848.47,-26029.62,-26029.62,-0.3314,91402.01,0.1765,0.208,7.485493615399276,1870.3040476190477,758.3576190476191,-124.04809523809524,Loss Making,Normal,High Payroll Pressure,-12849.23999999999
2026-01-01,S014,Himaxx Tianjin Warehouse 14,Tianjin,North China,Himaxx Warehouse Outlet,Shopping Center Warehouse,Stable,13468,54.0,Mature,Transport Hub,76492.59,373958.72,76492.59,76492.59,73579.85,56393.21,34349.17,22044.04,0.3909,22299.48,31594.09,6517.36,4670.06,65080.99,-43036.95,-0.7632,-60582.49,-72366.01,-72366.01,-1.2832,166490.63,0.3954,0.5602,4.18720002970003,1044.3187037037037,408.222962962963,-796.9805555555555,Loss Making,High Rent Pressure,High Payroll Pressure,-110097.42000000001
2026-01-01,S015,Himaxx Hangzhou Warehouse 15,Hangzhou,East China,Himaxx Warehouse Outlet,Mall Warehouse,Stable,14573,58.0,Mature,Community,71668.55,355781.68,71668.55,71668.55,67259.06,52698.59,32892.18,19806.41,0.3758,9119.34,12946.88,2683.0,1859.56,26608.77,-6802.36,-0.1291,-13165.9,-18715.32,-18715.32,-0.3551,70797.53,0.173,0.2457,3.616179921773142,908.5963793103448,341.4898275862069,-117.28206896551724,Loss Making,Normal,High Payroll Pressure,-18098.940000000002
2026-01-01,S016,Himaxx Chengdu Warehouse 16,Chengdu,West China,Himaxx Warehouse Outlet,Shopping Center Warehouse,High Profit,15540,62.0,Mature,Transport Hub,105863.94,531467.73,105863.94,105863.94,101492.95,79754.73,49683.13,30071.6,0.3771,6173.35,9555.54,1619.14,2146.22,19494.24,10577.36,0.1326,2197.1,-3761.05,-3761.05,-0.0472,51701.88,0.0774,0.1198,5.1322220077220075,1286.3666129032258,485.0258064516129,170.6025806451613,Healthy,Normal,Normal,28052.85
2026-01-01,S017,Himaxx Hangzhou Warehouse 17,Hangzhou,East China,Himaxx Warehouse Outlet,Shopping Center Warehouse,Stable,10374,41.0,Mature,Community,64419.06,308939.29,64419.06,64419.06,62784.49,44866.11,24481.74,20384.37,0.4543,7819.68,12810.52,1807.07,2477.65,24914.91,-4530.54,-0.101,-12978.9,-17637.8,-17637.8,-0.3931,54837.86,0.1743,0.2855,4.324861191440139,1094.2953658536585,497.1797560975609,-110.5009756097561,Loss Making,Normal,High Payroll Pressure,-9971.75
2026-01-01,S018,Himaxx Xi'an Warehouse 18,Xi'an,West China,Himaxx Warehouse Outlet,Mall Warehouse,High Profit,17488,70.0,Aging,Outlet Cluster,91572.12,454683.98,91572.12,91572.12,87445.77,67543.94,41671.25,25872.69,0.383,8208.86,10590.84,2310.53,2824.54,23934.76,1937.93,0.0287,-5827.49,-10525.1,-10525.1,-0.1558,62484.73,0.1215,0.1568,3.8623021500457457,964.9134285714287,369.60985714285715,27.684714285714286,Watch,Normal,Normal,5059.209999999999
2026-01-01,S019,Himaxx Qingdao Warehouse 19,Qingdao,North China,Himaxx Warehouse Outlet,Shopping Center Warehouse,At Risk,13159,53.0,New Store,Transport Hub,67546.56,326783.91,67546.56,67546.56,64254.49,50596.16,30857.79,19738.37,0.3901,23112.89,33587.94,4795.42,9192.64,70688.88,-50950.51,-1.007,-74447.93,-90187.38,-90187.38,-1.7825,181199.66,0.4568,0.6638,3.8449851812447755,954.6445283018869,372.4220754716981,-961.3303773584906,Loss Making,High Rent Pressure,High Payroll Pressure,-130603.5
2026-01-01,S020,Himaxx Shanghai Warehouse 20,Shanghai,East China,Himaxx Warehouse Outlet,Warehouse Outlet,High Profit,20311,81.0,Aging,Suburban Mall,96326.1,486030.94,96326.1,96326.1,92423.95,70246.12,40624.8,29621.32,0.4217,6040.3,10161.49,1613.35,1751.61,19566.75,10054.57,0.1431,3120.24,-1979.35,-1979.35,-0.0282,46401.99,0.086,0.1447,3.4585259219142332,867.236049382716,365.6953086419753,124.13049382716049,Healthy,Normal,Normal,23844.129999999997
2026-01-01,S021,Himaxx Changsha Warehouse 21,Changsha,Central China,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,High Profit,6863,27.0,Mature,Suburban Mall,68942.31,423774.72,68942.31,68942.31,65796.45,51620.54,37447.86,14172.68,0.2746,12377.63,14697.98,4038.12,4551.46,35665.19,-21492.51,-0.4164,-32535.71,-40153.83,-40153.83,-0.7779,129901.76,0.2398,0.2847,7.521570741658167,1911.871851851852,524.914074074074,-796.0188888888888,Loss Making,High Rent Pressure,High Payroll Pressure,-78281.22
2026-01-01,S022,Himaxx Xiamen Warehouse 22,Xiamen,South China,Himaxx Warehouse Outlet,Mall Warehouse,At Risk,16432,66.0,Ramp-up,Outlet Cluster,56742.76,288257.96,56742.76,56742.76,54093.19,39351.15,23018.91,16332.24,0.415,23656.83,29571.05,4662.74,8693.13,66583.75,-50251.51,-1.277,-67628.7,-84700.93,-84700.93,-2.1524,160427.91,0.6012,0.7515,2.3947876095423566,596.2295454545455,247.45818181818183,-761.3865151515151,Loss Making,High Rent Pressure,High Payroll Pressure,-121076.76000000001
2026-01-01,S023,Himaxx Changsha Warehouse 23,Changsha,Central China,Himaxx Warehouse Outlet,Mall Warehouse,Stable,17644,71.0,Mature,Industrial Park,91999.3,448052.68,91999.3,91999.3,87154.16,68859.28,40813.32,28045.96,0.4073,17900.42,28944.44,4863.64,4959.54,56668.04,-28622.08,-0.4157,-46308.91,-60030.87,-60030.87,-0.8718,139133.06,0.26,0.4203,3.9027023350714125,969.8490140845071,395.01352112676057,-403.1278873239437,Loss Making,High Rent Pressure,High Payroll Pressure,-70273.78
2026-01-01,S024,Himaxx Chongqing Warehouse 24,Chongqing,West China,Himaxx Warehouse Outlet,Mall Warehouse,Loss Making,14768,59.0,Mature,Suburban Mall,46449.05,232741.12,46449.05,46449.05,45164.49,36106.36,21414.08,14692.28,0.4069,19748.05,22787.17,5459.76,4348.59,52343.58,-37651.3,-1.0428,-53862.34,-64150.27,-64150.27,-1.7767,128634.63,0.5469,0.6311,2.4449052004333693,611.9722033898305,249.02169491525424,-638.1576271186441,Loss Making,High Rent Pressure,High Payroll Pressure,-92528.27
2026-01-01,S025,Himaxx Hangzhou Warehouse 25,Hangzhou,East China,Himaxx Warehouse Outlet,Shopping Center Warehouse,Stable,15307,61.0,Mature,Community,86774.48,417063.52,86774.48,86774.48,83680.06,63982.52,39086.58,24895.94,0.3891,13241.12,17073.48,4505.43,5136.0,39956.02,-15060.08,-0.2354,-27384.57,-35585.63,-35585.63,-0.5562,102686.9,0.2069,0.2668,4.179951656105049,1048.8937704918033,408.1301639344262,-246.88655737704917,Loss Making,High Rent Pressure,High Payroll Pressure,-38704.38
2026-01-01,S026,Himaxx Beijing Warehouse 26,Beijing,North China,Himaxx Warehouse Outlet,Shopping Center Warehouse,High Profit,12478,50.0,Ramp-up,Suburban Mall,109549.53,519726.53,109549.53,109549.53,104743.98,81482.72,47465.32,34017.4,0.4175,8468.5,14819.06,2361.54,2594.44,28243.54,5773.86,0.0709,-1909.63,-8725.1,-8725.1,-0.1071,67652.45,0.1039,0.1819,6.530110594646578,1629.6544000000001,680.3480000000001,115.4772,Watch,Normal,High Payroll Pressure,13830.270000000004
2026-01-01,S027,Himaxx Chengdu Warehouse 27,Chengdu,West China,Himaxx Warehouse Outlet,Shopping Center Warehouse,Loss Making,11438,46.0,Ramp-up,Suburban Mall,35242.57,169346.52,35242.57,35242.57,33891.82,24284.82,14222.05,10062.77,0.4144,18137.23,27115.97,4082.35,3562.21,52897.77,-42835.0,-1.7639,-55846.49,-68429.66,-68429.66,-2.8178,127659.95,0.7469,1.1166,2.1231701346389227,527.9308695652173,218.7558695652174,-931.195652173913,Loss Making,High Rent Pressure,High Payroll Pressure,-103375.13
2026-01-01,S028,Himaxx Chongqing Warehouse 28,Chongqing,West China,Himaxx Warehouse Outlet,Warehouse Outlet,At Risk,17911,72.0,Mature,Outlet Cluster,53568.4,276997.18,53568.4,53568.4,51612.4,37519.55,24871.69,12647.86,0.3371,16031.87,31545.18,4155.87,6807.73,58540.65,-45892.79,-1.2232,-63119.37,-75947.98,-75947.98,-2.0242,173659.32,0.4273,0.8408,2.094776952710625,521.1048611111112,175.66472222222222,-637.3998611111111,Loss Making,High Rent Pressure,High Payroll Pressure,-136139.77000000002
2026-01-01,S029,Himaxx Suzhou Warehouse 29,Suzhou,East China,Himaxx Warehouse Outlet,Warehouse Outlet,Stable,14493,58.0,Mature,Industrial Park,70527.31,358051.12,70527.31,70527.31,67116.22,50220.61,29569.3,20651.31,0.4112,16475.23,24940.85,5390.19,5088.23,51894.5,-31243.19,-0.6221,-45826.13,-59864.11,-59864.11,-1.192,126198.94,0.3281,0.4966,3.4651631822259024,865.8725862068966,356.05706896551726,-538.6756896551724,Loss Making,High Rent Pressure,High Payroll Pressure,-75978.33
2026-01-01,S030,Himaxx Beijing Warehouse 30,Beijing,North China,Himaxx Warehouse Outlet,Warehouse Outlet,At Risk,12991,52.0,Mature,Transport Hub,61837.13,317823.85,61837.13,61837.13,59487.53,46470.17,29231.38,17238.79,0.371,15818.15,25186.17,4749.22,6103.95,51857.5,-34618.71,-0.745,-51278.32,-62128.55,-62128.55,-1.337,139790.95,0.3404,0.542,3.5771049187899315,893.6571153846154,331.5151923076923,-665.7444230769231,Loss Making,High Rent Pressure,High Payroll Pressure,-93320.78000000001
2026-01-01,S031,Himaxx Xi'an Warehouse 31,Xi'an,West China,Himaxx Warehouse Outlet,Warehouse Outlet,At Risk,17142,69.0,Mature,Suburban Mall,50688.19,258886.3,50688.19,50688.19,49162.11,37108.06,23202.4,13905.66,0.3747,14786.51,18253.42,3784.39,4149.52,40973.84,-27068.18,-0.7294,-38554.12,-46275.61,-46275.61,-1.2471,109341.07,0.3985,0.4919,2.1647450705868625,537.7979710144928,201.53130434782608,-392.29246376811597,Loss Making,High Rent Pressure,High Payroll Pressure,-72233.01000000001
2026-01-01,S032,Himaxx Wuhan Warehouse 32,Wuhan,Central China,Himaxx Warehouse Outlet,Mall Warehouse,Stable,12940,52.0,Mature,Suburban Mall,81911.31,403928.17,81911.31,81911.31,79693.42,57925.26,34495.5,23429.76,0.4045,14682.9,22907.24,3198.93,3229.92,44018.98,-20589.22,-0.3554,-31044.78,-38584.64,-38584.64,-0.6661,108827.87,0.2535,0.3955,4.476449768160742,1113.9473076923077,450.5723076923077,-395.94653846153847,Loss Making,High Rent Pressure,High Payroll Pressure,-50902.60999999999
2026-01-01,S033,Himaxx Chongqing Warehouse 33,Chongqing,West China,Himaxx Warehouse Outlet,Mall Warehouse,At Risk,14283,57.0,Mature,Industrial Park,61425.59,305386.89,61425.59,61425.59,58034.44,42769.1,24860.38,17908.72,0.4187,15498.82,24728.04,3248.19,5678.03,49153.07,-31244.35,-0.7305,-41647.21,-49686.24,-49686.24,-1.1617,117385.98,0.3624,0.5782,2.9944059371280543,750.3350877192983,314.1880701754386,-548.1464912280702,Loss Making,High Rent Pressure,High Payroll Pressure,-74616.88
2026-01-01,S034,Himaxx Shenzhen Warehouse 34,Shenzhen,South China,Himaxx Warehouse Outlet,Warehouse Outlet,High Profit,20607,82.0,Mature,Suburban Mall,108997.11,543599.29,108997.11,108997.11,104752.36,76735.8,45499.13,31236.67,0.4071,9234.22,15078.5,2421.19,3755.18,30489.1,747.57,0.0097,-7483.73,-13808.25,-13808.25,-0.1799,74899.32,0.1203,0.1965,3.723773475032756,935.8024390243903,380.935,9.116707317073171,Watch,Normal,High Payroll Pressure,1836.479999999996
2026-01-01,S035,Himaxx Chongqing Warehouse 35,Chongqing,West China,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,At Risk,9562,38.0,Ramp-up,Industrial Park,55360.93,331241.22,55360.93,55360.93,53861.83,38981.27,28069.29,10911.98,0.2799,15656.32,24861.89,3551.67,4882.24,48952.13,-38040.15,-0.9759,-52115.67,-63672.12,-63672.12,-1.6334,174873.5,0.4016,0.6378,4.076685839782472,1025.822894736842,287.15736842105264,-1001.0565789473685,Loss Making,High Rent Pressure,High Payroll Pressure,-135892.23
2026-01-01,S036,Himaxx Nanjing Warehouse 36,Nanjing,East China,Himaxx Warehouse Outlet,Warehouse Outlet,Stable,17724,71.0,Mature,Community,74900.04,387215.97,74900.04,74900.04,71332.64,54692.21,33509.4,21182.81,0.3873,6628.74,13029.85,2624.12,2035.96,24318.67,-3135.86,-0.0573,-9124.55,-13692.14,-13692.14,-0.2503,62788.73,0.1212,0.2382,3.0857712705935456,770.3128169014084,298.34943661971835,-44.16704225352113,Loss Making,Normal,High Payroll Pressure,-8096.520000000004
2026-01-01,S037,Himaxx Shenzhen Warehouse 37,Shenzhen,South China,Himaxx Warehouse Outlet,Warehouse Outlet,At Risk,12877,52.0,Mature,Community,56649.03,284668.81,56649.03,56649.03,54349.86,41477.49,24880.96,16596.53,0.4001,9282.87,18531.0,2274.05,3749.29,33837.21,-17240.68,-0.4157,-25061.3,-32867.93,-32867.93,-0.7924,84564.83,0.2238,0.4468,3.221052263726023,797.6440384615385,319.16403846153844,-331.5515384615385,Loss Making,High Rent Pressure,High Payroll Pressure,-43087.340000000004
2026-01-01,S038,Himaxx Qingdao Warehouse 38,Qingdao,North China,Himaxx Warehouse Outlet,Warehouse Outlet,High Profit,15144,61.0,Mature,Community,97108.72,494827.22,97108.72,97108.72,93372.18,67946.56,41802.01,26144.55,0.3848,14235.72,20947.84,5198.57,3804.66,44186.79,-18042.24,-0.2655,-31886.03,-40771.99,-40771.99,-0.6001,114836.2,0.2095,0.3083,4.486698362387744,1113.8780327868851,428.59918032786885,-295.7744262295082,Loss Making,High Rent Pressure,High Payroll Pressure,-46889.64
2026-01-01,S039,Himaxx Shenzhen Warehouse 39,Shenzhen,South China,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Stable,8876,36.0,Aging,Suburban Mall,72433.56,439966.4,72433.56,72433.56,68233.38,53542.45,39513.33,14029.12,0.262,16351.39,24472.6,2743.03,4882.31,48449.33,-34420.21,-0.6429,-44733.36,-54611.62,-54611.62,-1.02,184907.95,0.3054,0.4571,6.032272420009012,1487.2902777777776,389.6977777777778,-956.1169444444445,Loss Making,High Rent Pressure,High Payroll Pressure,-131365.5
2026-01-01,S040,Himaxx Xiamen Warehouse 40,Xiamen,South China,Himaxx Warehouse Outlet,Warehouse Outlet,High Profit,18860,75.0,Ramp-up,Community,111429.51,572482.44,111429.51,111429.51,107427.96,78169.44,47598.07,30571.37,0.3911,6733.13,7973.01,1334.17,1837.31,17877.62,12693.75,0.1624,7255.67,4034.93,4034.93,0.0516,45712.16,0.0861,0.102,4.144721102863203,1042.2592,407.61826666666667,169.25,Healthy,Normal,Normal,32457.28
2026-01-01,S041,Himaxx Shanghai Warehouse 41,Shanghai,East China,Himaxx Warehouse Outlet,Shopping Center Warehouse,Loss Making,11105,44.0,Mature,Suburban Mall,35869.88,178487.36,35869.88,35869.88,34312.9,27899.49,17628.43,10271.06,0.3681,15317.01,24803.13,5377.76,4334.77,49832.67,-39561.61,-1.418,-52136.14,-63058.49,-63058.49,-2.2602,135361.51,0.549,0.889,2.512335884736605,634.0793181818182,233.4331818181818,-899.1275,Loss Making,High Rent Pressure,High Payroll Pressure,-107462.02
2026-01-01,S042,Himaxx Shanghai Warehouse 42,Shanghai,East China,Himaxx Warehouse Outlet,Community Warehouse,High Profit,13382,54.0,Mature,Suburban Mall,92709.76,474263.57,92709.76,92709.76,87609.14,65772.63,41329.85,24442.78,0.3716,9152.27,13291.79,1680.08,3172.71,27296.84,-2854.06,-0.0434,-10453.51,-15405.82,-15405.82,-0.2342,73452.57,0.1392,0.2021,4.915007472724556,1218.0116666666668,452.64407407407407,-52.85296296296296,Loss Making,Normal,High Payroll Pressure,-7679.940000000002
2026-01-01,S043,Himaxx Hangzhou Warehouse 43,Hangzhou,East China,Himaxx Warehouse Outlet,Warehouse Outlet,Stable,12516,50.0,Mature,Suburban Mall,96587.19,471767.15,96587.19,96587.19,92340.28,71654.87,42004.66,29650.21,0.4138,15229.73,22140.0,3487.94,5146.55,46004.22,-16354.01,-0.2282,-31746.12,-42645.84,-42645.84,-0.5952,111177.18,0.2125,0.309,5.725061521252796,1433.0973999999999,593.0042,-327.0802,Loss Making,High Rent Pressure,High Payroll Pressure,-39522.31
