month,store_id,store_name,city,region,channel,store_format,recognized_revenue,target_recognized_revenue,revenue_achievement_rate,gross_profit,target_gross_profit,gross_profit_achievement_rate,gross_margin_pct,target_gross_margin_pct,gross_margin_gap,store_cm,target_store_cm,store_cm_achievement_rate,traffic,target_traffic,traffic_achievement_rate,traffic_to_order_cvr,target_order_cvr,cvr_gap,upt,target_upt,upt_gap,aur,target_aur,aur_gap,achievement_flag
2026-01-01,S001,Himaxx Beijing Warehouse 1,Beijing,North China,Himaxx Warehouse Outlet,Mall Warehouse,77098.86,83458.04,0.9238038659906225,31138.64,37700.14,0.8259555534807033,0.4039,0.4517,-0.04780000000000001,-8237.25,15571.44,-0.5289973181671059,8306,9412,0.8824904377390566,0.04671321935949916,0.0513,-0.0045867806405008385,1.538659793814433,1.4458,0.0928597938144331,181.3065661641541,193.74,-12.433433835845904,Behind Target
2026-01-01,S002,Himaxx Nanjing Warehouse 2,Nanjing,East China,Himaxx Warehouse Outlet,Shopping Center Warehouse,53486.66,63083.31,0.8478733915515848,23086.91,28341.13,0.8146079567046197,0.4316,0.4493,-0.017699999999999994,-6787.54,5418.83,-1.2525840448953003,7779,7701,1.0101285547331516,0.0350944851523332,0.0361,-0.0010055148476667969,1.6007326007326008,1.7033,-0.10256739926739922,174.98839816933636,192.44,-17.451601830663634,Behind Target
2026-01-01,S003,Himaxx Shenzhen Warehouse 3,Shenzhen,South China,Himaxx Warehouse Outlet,Warehouse Outlet,34052.97,29382.19,1.1589663670407142,10770.91,10112.7,1.0650874642775914,0.3163,0.3442,-0.02789999999999998,-41670.22,2947.11,-14.139350075158376,7129,6226,1.1450369418567299,0.02286435685229345,0.025,-0.0021356431477065514,1.5950920245398772,1.4788,0.1162920245398773,166.80069230769232,161.13,5.67069230769232,Exceed Target
2026-01-01,S004,Himaxx Xiamen Warehouse 4,Xiamen,South China,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,34274.22,36794.51,0.9315036400810882,9705.39,11007.02,0.8817454678923087,0.2832,0.2991,-0.01589999999999997,-10814.93,3578.27,-3.0223907083590675,6927,7829,0.8847873291608124,0.03594629709831096,0.0384,-0.002453702901689038,1.5060240963855422,1.4069,0.0991240963855422,131.51424,125.01,6.504239999999996,On Track
2026-01-01,S005,Himaxx Changsha Warehouse 5,Changsha,Central China,Himaxx Warehouse Outlet,Shopping Center Warehouse,46158.66,44396.8,1.039684391667868,18317.95,18713.7,0.9788523915634001,0.3968,0.4215,-0.0247,-45544.26,2744.57,-16.594315320797065,7491,6481,1.1558401481252893,0.030703510879722333,0.0296,0.0011035108797223317,1.682608695652174,1.6341,0.04850869565217386,158.93708010335916,150.89,8.047080103359178,On Track
2026-01-01,S006,Himaxx Qingdao Warehouse 6,Qingdao,North China,Himaxx Warehouse Outlet,Warehouse Outlet,40798.02,40302.65,1.0122912513197022,15331.22,14401.79,1.0645357278504963,0.3758,0.3573,0.018500000000000016,-27537.38,3076.76,-8.950122856511395,8085,8783,0.9205282932938631,0.02622139764996908,0.025,0.0012213976499690776,1.5377358490566038,1.5381,-0.00036415094339625753,170.53395705521473,177.16,-6.626042944785269,On Track
2026-01-01,S007,Himaxx Wuhan Warehouse 7,Wuhan,Central China,Himaxx Warehouse Outlet,Mall Warehouse,68315.44,71335.68,0.957661579731209,27062.23,30961.85,0.8740508076875252,0.3961,0.434,-0.03789999999999999,-27480.78,6479.3,-4.241319278317102,7819,8439,0.9265315795710393,0.0396470136846144,0.041,-0.0013529863153856,1.6483870967741936,1.823,-0.17461290322580636,177.0258708414873,165.87,11.155870841487285,On Track
2026-01-01,S008,Himaxx Changsha Warehouse 8,Changsha,Central China,Himaxx Warehouse Outlet,Mall Warehouse,71062.61,83552.84,0.8505110059693962,27656.4,36148.33,0.7650809871438045,0.3892,0.4326,-0.043399999999999994,10446.62,15096.15,0.692005577581039,7769,8310,0.9348977135980746,0.04620929334534689,0.0432,0.003009293345346886,1.4791086350974931,1.6008,-0.12169136490250687,176.78920903954804,191.79,-15.000790960451951,Behind Target
2026-01-01,S009,Himaxx Changsha Warehouse 9,Changsha,Central China,Himaxx Warehouse Outlet,Mall Warehouse,62236.14,69420.71,0.8965068205150882,25148.09,30477.43,0.8251381432095817,0.4041,0.439,-0.03489999999999999,-12195.67,7953.68,-1.5333367698977076,8624,9212,0.9361702127659575,0.036989795918367346,0.0335,0.0034897959183673444,1.6175548589341693,1.6038,0.01375485893416939,172.03114341085274,168.46,3.571143410852727,Behind Target
2026-01-01,S010,Himaxx Changsha Warehouse 10,Changsha,Central China,Himaxx Warehouse Outlet,Community Warehouse,56524.9,61555.71,0.9182722447681946,20866.85,25278.41,0.8254811121427336,0.3692,0.4107,-0.04150000000000004,-1834.73,6197.97,-0.29602111659140007,8352,8996,0.9284126278345931,0.031609195402298854,0.0324,-0.0007908045977011446,1.571969696969697,1.5691,0.0028696969696970775,186.73742168674698,186.12,0.6174216867469795,Behind Target
