month,sku,brand_owner,brand,category,business_mode,standard_cost,inbound_freight_rate,packaging_cost_per_unit,handling_cost_per_unit,product_development_cost_per_unit,royalty_rate,royalty_cost_per_unit,landed_cost_per_unit,unit_economic_cost
2026-01-01,SKU00001,External Brand,Reebok Underwear,Basketball Shoes,Buyout,29.42,0.0444,3.08,1.15,2.91,0.0582,33.69,37.87,71.56
2026-01-01,SKU00002,External Brand,Hoka,Bags,Consignment,23.01,0.0512,2.75,1.63,1.55,0.0,0.0,30.11,30.11
2026-01-01,SKU00003,External Brand,Fila,Bags,Buyout,133.95,0.0444,3.96,1.61,1.76,0.0,0.0,147.23,147.23
2026-01-01,SKU00004,External Brand,Puma,Accessories,Consignment,24.72,0.0741,1.97,3.14,3.72,0.0,0.0,35.39,35.39
2026-01-01,SKU00005,External Brand,Nike,Performance Apparel,Buyout,249.21,0.0745,3.41,3.14,2.83,0.0,0.0,277.15,277.15
2026-01-01,SKU00006,External Brand,Asics,Sportswear,Consignment,2.89,0.0657,1.98,2.29,1.2,0.0,0.0,8.56,8.56
2026-01-01,SKU00007,External Brand,On Running,Outdoor Apparel,Buyout,92.42,0.0569,0.59,1.98,2.54,0.0,0.0,102.79,102.79
2026-01-01,SKU00008,External Brand,Brooks Brothers,Yoga Apparel,Consignment,14.98,0.0649,2.38,2.52,0.9,0.0402,13.59,21.74,35.33
2026-01-01,SKU00009,External Brand,Reebok Underwear,Accessories,Consignment,20.35,0.0599,4.2,2.72,3.18,0.0761,33.54,31.67,65.21
2026-01-01,SKU00010,External Brand,Fila,Kids Apparel,Consignment,20.29,0.0465,2.03,2.62,1.46,0.0,0.0,27.34,27.34
2026-01-01,SKU00011,External Brand,Champion,Kids Apparel,Buyout,163.2,0.0414,2.51,0.76,0.5,0.0,0.0,173.74,173.74
2026-01-01,SKU00012,External Brand,Under Armour,Yoga Apparel,Buyout,55.43,0.0441,2.37,2.29,1.94,0.0,0.0,64.47,64.47
2026-01-01,SKU00013,External Brand,Reebok Underwear,Outdoor Apparel,Consignment,109.14,0.0229,1.79,1.91,1.29,0.0469,106.35,116.63,222.98
2026-01-01,SKU00014,External Brand,On Running,Underwear,Consignment,6.51,0.0665,0.78,1.34,2.53,0.0,0.0,11.59,11.59
2026-01-01,SKU00015,Himaxx Own,Brand B,Sportswear,Own Brand,155.12,0.0662,3.02,2.79,7.36,0.0,0.0,178.56,178.56
2026-01-01,SKU00016,External Brand,Cole Haan,Underwear,Buyout,30.07,0.0722,0.97,1.34,2.86,0.0,0.0,37.4,37.4
2026-01-01,SKU00017,External Brand,Lululemon,Sportswear,Consignment,13.62,0.0226,1.42,1.48,1.82,0.0,0.0,18.65,18.65
2026-01-01,SKU00018,External Brand,Adidas,Training Shoes,Consignment,30.95,0.0608,2.77,1.74,3.02,0.0,0.0,40.36,40.36
2026-01-01,SKU00019,Himaxx Own,Brand A,Bags,Own Brand,52.57,0.0351,2.04,1.99,3.15,0.0,0.0,61.6,61.6
2026-01-01,SKU00020,External Brand,Salomon,Kids Apparel,Consignment,12.97,0.0518,2.49,3.18,3.22,0.0,0.0,22.53,22.53
2026-01-01,SKU00021,External Brand,The North Face,Outdoor Apparel,Buyout,100.62,0.0396,1.89,0.61,3.95,0.0,0.0,111.06,111.06
2026-01-01,SKU00022,External Brand,Reebok Underwear,Outdoor Apparel,Buyout,282.92,0.0621,4.88,1.38,3.05,0.0494,79.95,309.8,389.75
2026-01-01,SKU00023,Himaxx Own,Brand A,Outdoor Apparel,Own Brand,237.34,0.0403,4.72,2.11,7.73,0.0,0.0,261.48,261.48
2026-01-01,SKU00024,External Brand,Nike,Lifestyle Apparel,Consignment,20.65,0.0682,3.52,1.0,0.85,0.0,0.0,27.43,27.43
2026-01-01,SKU00025,External Brand,Under Armour,Performance Apparel,Consignment,44.55,0.0623,3.51,2.96,2.77,0.0,0.0,56.57,56.57
2026-01-01,SKU00026,Himaxx Own,Brand A,Performance Apparel,Own Brand,240.32,0.0227,4.54,3.17,6.0,0.0,0.0,259.49,259.49
2026-01-01,SKU00027,Himaxx Own,Brand A,Performance Apparel,Own Brand,376.08,0.0666,2.86,0.41,10.2,0.0,0.0,414.59,414.59
2026-01-01,SKU00028,External Brand,Asics,Outdoor Apparel,Buyout,180.83,0.0796,1.18,1.32,3.97,0.0,0.0,201.68,201.68
2026-01-01,SKU00029,External Brand,Adidas,Bags,Consignment,13.19,0.039,0.77,0.83,1.5,0.0,0.0,16.8,16.8
2026-01-01,SKU00030,External Brand,Cole Haan,Basketball Shoes,Consignment,54.62,0.0343,4.71,0.59,3.41,0.0,0.0,65.21,65.21
2026-01-01,SKU00031,Himaxx Own,Brand B,Running Shoes,Own Brand,113.54,0.0621,3.54,1.12,3.72,0.0,0.0,128.97,128.97
2026-01-01,SKU00032,External Brand,Cole Haan,Bags,Consignment,31.26,0.0347,0.71,1.51,1.14,0.0,0.0,35.7,35.7
2026-01-01,SKU00033,External Brand,Lululemon,Outdoor Apparel,Consignment,12.3,0.0515,0.86,1.56,3.7,0.0,0.0,19.05,19.05
2026-01-01,SKU00034,External Brand,Lululemon,Yoga Apparel,Consignment,11.99,0.0225,0.79,1.75,0.8,0.0,0.0,15.6,15.6
2026-01-01,SKU00035,External Brand,Reebok Underwear,Performance Apparel,Buyout,105.76,0.0584,1.35,2.23,0.48,0.0412,26.87,116.0,142.87
2026-01-01,SKU00036,Himaxx Own,Brand A,Performance Apparel,Own Brand,258.65,0.0406,4.72,1.8,14.86,0.0,0.0,290.53,290.53
2026-01-01,SKU00037,External Brand,Reebok Underwear,Yoga Apparel,Buyout,88.29,0.0229,0.72,1.11,3.26,0.0689,57.36,95.39,152.75
2026-01-01,SKU00038,External Brand,Lululemon,Training Shoes,Consignment,12.84,0.0423,2.65,1.93,1.4,0.0,0.0,19.36,19.36
2026-01-01,SKU00039,Himaxx Own,Brand B,Yoga Apparel,Own Brand,47.01,0.0303,0.66,3.24,3.64,0.0,0.0,55.96,55.96
2026-01-01,SKU00040,External Brand,Adidas,Accessories,Consignment,7.66,0.0236,2.09,1.57,1.09,0.0,0.0,12.59,12.59
2026-01-01,SKU00041,External Brand,Adidas,Yoga Apparel,Consignment,48.2,0.0618,3.76,1.0,2.37,0.0,0.0,58.32,58.32
2026-01-01,SKU00042,External Brand,Cole Haan,Performance Apparel,Consignment,63.3,0.0492,3.31,1.53,1.76,0.0,0.0,73.01,73.01
2026-01-01,SKU00043,Himaxx Own,Brand A,Running Shoes,Own Brand,131.33,0.0637,2.11,0.8,7.36,0.0,0.0,149.96,149.96
2026-01-01,SKU00044,External Brand,On Running,Sportswear,Buyout,89.1,0.0366,3.25,0.89,3.7,0.0,0.0,100.2,100.2
2026-01-01,SKU00045,External Brand,On Running,Kids Apparel,Consignment,37.16,0.0357,0.91,1.04,0.24,0.0,0.0,40.68,40.68
2026-01-01,SKU00046,External Brand,Nike,Performance Apparel,Consignment,15.52,0.0217,2.65,1.83,0.83,0.0,0.0,21.17,21.17
2026-01-01,SKU00047,External Brand,On Running,Running Shoes,Consignment,44.24,0.0774,1.91,2.03,0.49,0.0,0.0,52.1,52.1
2026-01-01,SKU00048,External Brand,Adidas,Sportswear,Consignment,27.07,0.0452,2.16,3.33,3.57,0.0,0.0,37.35,37.35
2026-01-01,SKU00049,External Brand,Asics,Bags,Buyout,138.23,0.045,4.6,0.43,0.09,0.0,0.0,149.58,149.58
2026-01-01,SKU00050,External Brand,Lululemon,Performance Apparel,Consignment,9.38,0.0539,3.84,0.98,1.51,0.0,0.0,16.21,16.21
2026-01-01,SKU00051,External Brand,Salomon,Sportswear,Buyout,30.67,0.0775,4.38,2.48,2.05,0.0,0.0,41.96,41.96
2026-01-01,SKU00052,Himaxx Own,Brand B,Kids Apparel,Own Brand,53.34,0.07,1.94,1.05,8.56,0.0,0.0,68.63,68.63
2026-01-01,SKU00053,External Brand,Nike,Basketball Shoes,Consignment,31.34,0.0335,4.2,1.06,1.44,0.0,0.0,39.08,39.08
2026-01-01,SKU00054,External Brand,Adidas,Performance Apparel,Consignment,67.74,0.0233,2.54,2.59,0.09,0.0,0.0,74.53,74.53
2026-01-01,SKU00055,External Brand,Adidas,Underwear,Consignment,7.5,0.0636,4.6,1.86,2.02,0.0,0.0,16.45,16.45
2026-01-01,SKU00056,External Brand,New Balance,Underwear,Buyout,18.75,0.04,1.49,2.46,1.56,0.0,0.0,25.01,25.01
2026-01-01,SKU00057,Himaxx Own,Brand A,Accessories,Own Brand,39.12,0.0566,4.24,0.83,6.87,0.0,0.0,53.28,53.28
2026-01-01,SKU00058,External Brand,Skechers,Basketball Shoes,Consignment,37.48,0.0394,4.82,2.63,0.22,0.0,0.0,46.62,46.62
