month,store_id,channel,store_format,region,city,profit_profile,staff_count,orders,gmv,msrp_gmv,transaction_gmv,gross_sales,net_sales,recognized_revenue,cogs,gross_profit,gross_margin_pct,rent_expense,payroll_expense,utilities_expense,local_marketing_expense,logistics_expense,warehouse_expense,hq_sga,brand_marketing_expense,total_opex,store_direct_costs,store_cm,store_cm_pct,market_contribution,ebitda_proxy,operating_profit,operating_margin,bep_revenue,rent_to_sales_ratio,payroll_to_sales_ratio,sales_per_staff
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,North China,Beijing,High Profit,73,388,108240.02,529180.48,108240.02,108240.02,101925.68,77098.86,45960.22,31138.64,0.4039,11083.92,20805.35,3465.79,4020.82,5220.37,3811.54,8351.61,1680.09,58439.5,39375.89,-8237.25,-0.1068,-17269.16,-27300.86,-27300.86,-0.3541,97494.17,0.1438,0.2699,1056.15
2026-01-01,S002,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Nanjing,Stable,84,273,76469.93,369943.13,76469.93,76469.93,73132.1,53486.66,30399.75,23086.91,0.4316,9076.55,15104.29,2519.98,3173.62,5650.01,3842.35,4865.26,1273.72,45505.79,29874.45,-6787.54,-0.1269,-16279.9,-22418.88,-22418.88,-0.4191,69211.71,0.1697,0.2824,636.75
2026-01-01,S003,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,At Risk,100,163,43368.18,232004.4,43368.18,43368.18,42085.74,34052.97,23282.06,10770.91,0.3163,16467.34,25752.05,4003.76,6217.99,8385.45,8118.31,10075.0,2339.72,81359.61,52441.13,-41670.22,-1.2237,-58173.98,-70588.7,-70588.7,-2.0729,165796.23,0.4836,0.7562,340.53
2026-01-01,S004,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,South China,Xiamen,Stable,34,249,49317.84,301450.41,49317.84,49317.84,46802.81,34274.22,24568.83,9705.39,0.2832,6674.25,9889.82,1640.99,2315.26,2333.78,2942.98,2439.84,781.44,29018.36,20520.32,-10814.93,-0.3155,-16091.69,-19312.97,-19312.97,-0.5635,72466.74,0.1947,0.2885,1008.07
2026-01-01,S005,Himaxx Warehouse Outlet,Shopping Center Warehouse,Central China,Changsha,At Risk,45,230,61508.65,310307.78,61508.65,61508.65,57330.94,46158.66,27840.71,18317.95,0.3968,20734.22,33317.57,5060.22,4750.2,7138.45,8370.54,7805.03,2648.19,89824.41,63862.21,-45544.26,-0.9867,-61053.25,-71506.46,-71506.46,-1.5491,160923.8,0.4492,0.7218,1025.75
2026-01-01,S006,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,At Risk,77,212,55594.07,282720.16,55594.07,55594.07,52862.33,40798.02,25466.8,15331.22,0.3758,11263.43,23456.12,4493.71,3655.33,5287.85,5538.56,7376.31,1844.08,62915.4,42868.6,-27537.38,-0.675,-38363.79,-47584.18,-47584.18,-1.1663,114077.93,0.2761,0.5749,529.84
2026-01-01,S007,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Wuhan,Stable,70,310,90460.22,442590.02,90460.22,90460.22,86698.51,68315.44,41253.21,27062.23,0.3961,20506.2,24519.11,3471.53,6046.16,9376.56,8598.79,9743.96,2340.34,84602.66,54543.01,-27480.78,-0.4023,-45456.13,-57540.43,-57540.43,-0.8423,137687.47,0.3002,0.3589,975.93
2026-01-01,S008,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,High Profit,40,359,93875.07,463408.98,93875.07,93875.07,90618.18,71062.61,43406.21,27656.4,0.3892,4885.2,8468.44,1585.72,2270.42,3195.65,1789.46,3625.11,905.6,26725.59,17209.78,10446.62,0.147,5461.52,930.81,930.81,0.0131,44220.2,0.0687,0.1192,1776.57
2026-01-01,S009,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,High Profit,51,319,88768.07,436152.53,88768.07,88768.07,85142.37,62236.14,37088.05,25148.09,0.4041,13463.04,17178.76,2992.05,3709.91,7075.09,6124.65,6157.71,1648.92,58350.13,37343.76,-12195.67,-0.196,-25395.41,-33202.04,-33202.04,-0.5335,92417.82,0.2163,0.276,1220.32
2026-01-01,S010,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,Stable,38,264,77496.03,388938.04,77496.03,77496.03,74679.51,56524.9,35658.05,20866.85,0.3692,7694.6,11287.92,1786.39,1932.67,3563.41,3467.9,2616.41,903.47,33252.77,22701.58,-1834.73,-0.0325,-8866.05,-12385.92,-12385.92,-0.2191,61494.89,0.1361,0.1997,1487.5
