month,store_id,channel,store_format,primary_marketing_channel,marketing_spend,new_customers,orders,gmv,recognized_revenue,gross_profit,cac,roas,revenue_per_order,gross_profit_per_order
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,WeChat,3239.81,18,388,108240.02,77098.86,31138.64,179.99,33.4094,198.71,80.25
2026-01-01,S002,Himaxx Warehouse Outlet,Shopping Center Warehouse,WeChat,3000.0,12,273,76469.93,53486.66,23086.91,250.0,25.49,195.92,84.57
2026-01-01,S003,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,4,163,43368.18,34052.97,10770.91,750.0,14.4561,208.91,66.08
2026-01-01,S004,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Member Coupon,3538.93,14,249,49317.84,34274.22,9705.39,252.78,13.9358,137.65,38.98
2026-01-01,S005,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3000.0,7,230,61508.65,46158.66,18317.95,428.57,20.5029,200.69,79.64
2026-01-01,S006,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3000.0,16,212,55594.07,40798.02,15331.22,187.5,18.5314,192.44,72.32
2026-01-01,S007,Himaxx Warehouse Outlet,Mall Warehouse,WeChat,3547.9,17,310,90460.22,68315.44,27062.23,208.7,25.4969,220.37,87.3
2026-01-01,S008,Himaxx Warehouse Outlet,Mall Warehouse,WeChat,4319.93,22,359,93875.07,71062.61,27656.4,196.36,21.7307,197.95,77.04
2026-01-01,S009,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,5030.56,15,319,88768.07,62236.14,25148.09,335.37,17.6458,195.1,78.83
2026-01-01,S010,Himaxx Warehouse Outlet,Community Warehouse,WeChat,3000.0,14,264,77496.03,56524.9,20866.85,214.29,25.832,214.11,79.04
2026-01-01,S011,Himaxx Warehouse Outlet,Community Warehouse,WeChat,3000.0,1,198,59346.96,46488.36,19489.42,3000.0,19.7823,234.79,98.43
2026-01-01,S012,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3647.62,20,410,112428.22,82223.06,31430.66,182.38,30.8223,200.54,76.66
2026-01-01,S013,Himaxx Warehouse Outlet,Community Warehouse,Offline Event,3000.0,15,358,102089.16,78552.77,31851.02,200.0,34.0297,219.42,88.97
2026-01-01,S014,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3000.0,14,251,76492.59,56393.21,22044.04,214.29,25.4975,224.67,87.82
2026-01-01,S015,Himaxx Warehouse Outlet,Mall Warehouse,Mall Promotion,3000.0,11,250,71668.55,52698.59,19806.41,272.73,23.8895,210.79,79.23
2026-01-01,S016,Himaxx Warehouse Outlet,Shopping Center Warehouse,Search Ads,4635.72,17,389,105863.94,79754.73,30071.6,272.69,22.8366,205.03,77.3
2026-01-01,S017,Himaxx Warehouse Outlet,Shopping Center Warehouse,WeChat,3000.0,14,238,64419.06,44866.11,20384.37,214.29,21.473,188.51,85.65
2026-01-01,S018,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,4630.77,16,335,91572.12,67543.94,25872.69,289.42,19.7747,201.62,77.23
2026-01-01,S019,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3439.56,12,236,67546.56,50596.16,19738.37,286.63,19.6381,214.39,83.64
