snapshot_month,sku,brand,category,business_mode,gross_profit,sales_revenue,inventory_value,sold_units,ending_inventory_units,sell_through_rate,inventory_age_days,gmroi,weeks_of_supply,gross_margin_pct,quadrant_label,recommended_action,action_priority
2026-01-01,SKU00001,Reebok Underwear,Basketball Shoes,Buyout,1480.85,2392.87,244186.0,31,8300,0.0035250000000000004,288.7236842105263,0.006457894736842105,821.7675,0.6188593613526853,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
2026-01-01,SKU00002,Hoka,Bags,Consignment,853.59,999.82,189096.18,10,8218,0.0016828947368421054,132.30263157894737,0.006685526315789473,953.0763157894737,0.853743673861295,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
2026-01-01,SKU00003,Fila,Bags,Buyout,3523.31,7675.76,1061955.6,31,7928,0.005211842105263158,139.30263157894737,0.004593421052631579,818.6930263157894,0.4590177389600508,Low Margin + Low Sell-through,Clearance / Eliminate,High
2026-01-01,SKU00004,Puma,Accessories,Consignment,334.39,414.79,195510.48,19,7909,0.002930263157894737,126.89473684210526,0.002313157894736842,887.6315789473684,0.806166976060175,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
2026-01-01,SKU00005,Nike,Performance Apparel,Buyout,1026.89,4017.41,2187316.17,12,8777,0.002125,131.10526315789474,0.0008197368421052632,929.2236842105264,0.25560995765928796,Low Margin + Low Sell-through,Clearance / Eliminate,High
2026-01-01,SKU00006,Asics,Sportswear,Consignment,298.15,353.71,24093.93,58,8337,0.007307894736842105,128.82894736842104,0.014375,743.5781578947368,0.8429221678776398,High Margin + High Sell-through,Main Push / Monitor Inventory,Low
2026-01-01,SKU00007,On Running,Outdoor Apparel,Buyout,9331.77,14507.29,748602.0,56,8100,0.007863157894736843,129.64473684210526,0.016269736842105264,778.9227631578947,0.6432469468798101,High Margin + High Sell-through,Main Push / Monitor Inventory,Low
2026-01-01,SKU00008,Brooks Brothers,Yoga Apparel,Consignment,1575.02,1901.7,123629.94,111,8253,0.014836842105263157,137.27631578947367,0.015871052631578945,537.109605263158,0.8282168586001998,High Margin + High Sell-through,Main Push / Monitor Inventory,Low
2026-01-01,SKU00009,Reebok Underwear,Accessories,Consignment,1123.09,1375.46,178693.35,49,8781,0.006111842105263158,132.71052631578948,0.00775,787.6902631578947,0.8165195643639218,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
2026-01-01,SKU00010,Fila,Kids Apparel,Consignment,436.35,528.49,162705.51,19,8019,0.0023763157894736843,140.93421052631578,0.0031973684210526315,882.9956578947368,0.8256542224072357,High Margin + Low Sell-through,Targeted Marketing / Control Inventory,Medium
