month,store_id,channel,store_format,region,city,target_gmv,target_recognized_revenue,target_gross_profit,target_gross_margin_pct,target_store_cm,target_traffic,target_order_cvr,target_upt,target_aur,target_gmroi
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,North China,Beijing,102008.01,83458.04,37700.14,0.4517,15571.44,9412,0.0513,1.4458,193.74,3.69
2026-01-01,S002,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Nanjing,83082.88,63083.31,28341.13,0.4493,5418.83,7701,0.0361,1.7033,192.44,3.94
2026-01-01,S003,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,47048.96,29382.19,10112.7,0.3442,2947.11,6226,0.025,1.4788,161.13,3.34
2026-01-01,S004,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,South China,Xiamen,48661.18,36794.51,11007.02,0.2991,3578.27,7829,0.0384,1.4069,125.01,4.11
2026-01-01,S005,Himaxx Warehouse Outlet,Shopping Center Warehouse,Central China,Changsha,66963.09,44396.8,18713.7,0.4215,2744.57,6481,0.0296,1.6341,150.89,2.8
2026-01-01,S006,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,54440.69,40302.65,14401.79,0.3573,3076.76,8783,0.025,1.5381,177.16,2.06
2026-01-01,S007,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Wuhan,94304.83,71335.68,30961.85,0.434,6479.3,8439,0.041,1.823,165.87,2.68
2026-01-01,S008,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,109312.22,83552.84,36148.33,0.4326,15096.15,8310,0.0432,1.6008,191.79,1.99
2026-01-01,S009,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,84968.84,69420.71,30477.43,0.439,7953.68,9212,0.0335,1.6038,168.46,2.13
2026-01-01,S010,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,90704.24,61555.71,25278.41,0.4107,6197.97,8996,0.0324,1.5691,186.12,1.97
2026-01-01,S011,Himaxx Warehouse Outlet,Community Warehouse,West China,Chengdu,57580.52,42275.37,16513.1,0.3906,3144.08,6818,0.025,1.7968,191.04,2.37
2026-01-01,S012,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,125652.62,82806.5,31883.36,0.385,10465.03,8886,0.0595,1.7937,164.77,3.39
2026-01-01,S013,Himaxx Warehouse Outlet,Community Warehouse,South China,Shenzhen,119315.04,94685.99,35750.71,0.3776,15157.49,7241,0.0512,1.7648,178.54,3.99
2026-01-01,S014,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,78324.22,58286.53,23233.96,0.3986,4337.3,8002,0.0309,1.8836,182.66,1.89
2026-01-01,S015,Himaxx Warehouse Outlet,Mall Warehouse,East China,Hangzhou,68219.62,55755.42,20092.2,0.3604,7194.18,7518,0.0294,1.6607,194.8,3.46
2026-01-01,S016,Himaxx Warehouse Outlet,Shopping Center Warehouse,West China,Chengdu,102018.79,81695.6,33247.28,0.407,9757.83,8069,0.0566,1.5475,169.69,2.94
2026-01-01,S017,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Hangzhou,60822.04,51958.49,22655.41,0.436,5132.32,7710,0.0321,1.6495,182.49,4.11
2026-01-01,S018,Himaxx Warehouse Outlet,Mall Warehouse,West China,Xi'an,98238.01,78898.41,28902.92,0.3663,7160.49,9023,0.0409,1.5186,177.99,2.7
