date,store_id,channel,store_format,region,city,traffic,member_uv,new_member_uv,returning_member_uv,assisted_visits,try_on_count,orders,buyers,gross_units,gmv,recognized_revenue,traffic_to_order_cvr,member_cvr,try_on_cvr,upt,aur
2026-01-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,North China,Beijing,205,79,26,53,66,15,15,15,18,2282.07,1445.99,0.0732,0.1899,1.0,1.2,126.78
2026-01-01,S002,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Nanjing,165,99,23,76,47,17,11,10,20,4146.28,2898.68,0.0667,0.101,0.6471,1.8182,207.31
2026-01-01,S003,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,114,53,13,40,41,20,4,4,10,890.24,241.97,0.0351,0.0755,0.2,2.5,89.02
2026-01-01,S004,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,South China,Xiamen,187,91,13,78,119,51,10,10,14,2525.59,2153.26,0.0535,0.1099,0.1961,1.4,180.4
2026-01-01,S005,Himaxx Warehouse Outlet,Shopping Center Warehouse,Central China,Changsha,395,144,20,124,155,62,10,10,16,2706.81,1863.86,0.0253,0.0694,0.1613,1.6,169.18
2026-01-01,S006,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,367,136,28,108,209,67,8,8,12,1311.44,1140.48,0.0218,0.0588,0.1194,1.5,109.29
2026-01-01,S007,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Wuhan,104,39,8,31,47,23,6,6,8,999.1,801.45,0.0577,0.1538,0.2609,1.3333,124.89
2026-01-01,S008,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,302,134,37,97,104,43,19,19,28,5160.23,3686.47,0.0629,0.1418,0.4419,1.4737,184.29
2026-01-01,S009,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,348,177,42,135,98,35,14,14,23,3867.8,3179.42,0.0402,0.0791,0.4,1.6429,168.17
2026-01-01,S010,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,207,107,11,96,120,24,8,8,9,1745.61,1583.06,0.0386,0.0748,0.3333,1.125,193.96
2026-01-01,S011,Himaxx Warehouse Outlet,Community Warehouse,West China,Chengdu,400,224,72,152,153,83,3,3,4,808.77,553.76,0.0075,0.0134,0.0361,1.3333,202.19
2026-01-01,S012,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,295,123,41,82,172,38,10,10,18,3389.38,2508.72,0.0339,0.0813,0.2632,1.8,188.3
2026-01-01,S013,Himaxx Warehouse Outlet,Community Warehouse,South China,Shenzhen,143,72,17,55,68,14,9,9,18,4144.53,3575.94,0.0629,0.125,0.6429,2.0,230.25
2026-01-01,S014,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,101,53,11,42,55,21,8,8,11,2618.33,2347.89,0.0792,0.1509,0.381,1.375,238.03
