门店序号,门店分类,门店级别,门店名称,开业日期,盈亏平衡点,爆破门店品牌,年目标GMV,年实际GMV,同期年GMV,月目标GMV,月目标客流量,月目标交易人数,月目标转化率,月目标客单价,月实际GMV,月实际客流量,月实际新客流量,月实际转化率,月实际交易人数,月实际客单价,同期月GMV,同期月客流量,同期月新客流量,同期月转化率,同期月成交人数,同期月客单价,月GMV同比,月客流量同比,月转化率同比,月客单同比
1,老店,S,嘉定仓,2018-01-20,450.8930935,,130000000,31813800.4,30550744.31,7500000,25474,15795,0.620043966,474.8338082,6848352.11,23833,2726,0.582721437,13888,493.112912,6569438.21,22459,2770,0.616679282,13850,474.327669,0.042456279,0.061178147,-0.05506565,0.039603937
2,老店,A,宝山仓,2018-11-12,421.1872658,,71000000,17549759.43,22376432.94,5000000,25700,15418,0.599922179,324.2962771,3594692.81,13179,1257,0.633963123,8355,430.244502,4940372.48,18150,2275,0.642589532,11663,423.593628,-0.272384254,-0.273884298,-0.013424446,0.015701072
3,老店,C,花桥仓,2019-05-30,93.38439719,,21377391.49,5158669.58,7042299.96,1900000,7322,5274,0.720295001,360.2578688,1134651.71,3423,374,0.965819457,3306,343.209834,1725124.79,7125,2276,0.721964912,5144,335.366406,-0.342278474,-0.519578947,0.337765091,0.023387638
4,老店,A,安亭仓,2019-06-15,260.2895012,,70000000,17099534.31,16842471.07,4500000,19097,11841,0.620045033,380.03547,3414017.82,14079,1462,0.617515449,8694,392.68666,3796296.83,16638,2470,0.617442,10273,369.541209,-0.100697871,-0.153804544,0.000118956,0.062632936
5,老店,S,青浦仓,2019-06-29,476.4606671,海代,130000000,28458180.55,30125637.74,7500000,20713,14708,0.710085454,509.9265706,6104010.99,17546,3110,0.681807819,11963,510.240826,6665642.34,17627,3297,0.720485619,12700,524.853728,-0.084257649,-0.004595223,-0.053682958,-0.027841856
6,老店,B,顾戴仓,2019-09-12,294.0406823,,45000000,8918430.03,13663797.25,3700000,15818,9488,0.599822986,389.9662732,1965464.47,10131,1397,0.535189024,5422,362.498058,3280078.6,14706,3259,0.574867401,8454,387.991318,-0.400787387,-0.311097511,-0.06902179,-0.065705749
7,老店,A,曹路仓,2019-10-01,271.0709779,,70000000,17321852.57,16992532.78,4500000,23990,13435,0.56002501,334.9460365,3413595.74,22015,2108,0.444424256,9784,348.895722,3839484.14,21467,3091,0.528671915,11349,338.310349,-0.110923339,0.025527554,-0.159357167,0.031288942
8,老店,C,江桥仓,2020-10-01,175.5544328,,35212755.92,8650443.02,9984841.56,3000000,16048,8825,0.549912762,339.9433428,1797874.45,10731,1526,0.543285807,5830,308.383268,2276773.15,13366,2757,0.540700284,7227,315.037104,-0.210340982,-0.197142002,0.004781805,-0.021120801
9,老店,C,马鞍山万达仓,2022-01-22,157.9571454,,21921764.89,6111169.94,5720373.2,1600000,11420,5710,0.5,280.2101576,1014763.39,7837,1150,0.588618094,4613,219.979058,1048226.48,11641,2268,0.405377545,4719,222.128943,-0.03192353,-0.32677605,0.452024418,-0.009678545
10,老店,C,瑞虹仓,2022-03-05,115.6651581,,15000000,3488033.57,3574330.21,1200000,9696,3588,0.370049505,334.4481605,920723.23,6296,1567,0.426937738,2688,342.530964,940335.83,8453,3505,0.332544659,2811,334.52004,-0.020857017,-0.255175677,0.283850836,0.023947516
11,老店,C,吴泾仓,2022-04-25,230.0736445,,15000000,9644168.13,9381589.98,4000000,25012,12506,0.5,319.8464737,3278212.76,17013,1996,0.524892729,8930,367.101093,1968789.77,12601,2238,0.494722641,6234,315.81485,0.665090306,0.350130942,0.060983843,0.162393387
12,老店,C,镇江常发仓,2022-09-23,183.8920705,,37276569.13,11665854.01,9601001.65,2500000,12633,7581,0.600094989,329.7717979,2405256.22,10701,2518,0.659097281,7053,341.025978,1986234.62,9575,2575,0.643028721,6157,322.597795,0.210962791,0.117597911,0.024988868,0.05712433
13,老店,A,宜兴万达仓,2022-10-28,319.8664494,,70000000,20607260.43,17047894.92,4500000,23288,13473,0.578538303,334.001336,3741704.37,16453,2276,0.636905124,10479,357.066932,3577092.34,17312,3362,0.610212569,10564,338.611543,0.04601839,-0.049618762,0.043743043,0.05450313
